 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.5,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Aaron Rodgers*+,1,1,GNB,QB,28,15,15,343,502,4643,45,6,60,257,3,0,0,0,0,399,406.9,398.4
Drew Brees*,2,2,NOR,QB,32,16,16,468,657,5476,46,14,21,86,1,0,0,0,0,396,412.1,408.6
Ray Rice*,1,3,BAL,RB,24,16,16,1,1,1,1,0,291,1364,12,104,76,704,3,301,381.8,336.8
Calvin Johnson*+,1,4,DET,WR,26,16,16,0,0,0,0,0,1,11,0,158,96,1681,16,267,363.7,312.2
Cam Newton*,3,5,CAR,QB,22,16,16,310,517,4051,21,17,126,706,14,1,1,27,0,375,394.8,385.8
Rob Gronkowski*+,1,6,NWE,TE,22,16,16,0,0,0,0,0,1,2,1,124,90,1327,17,241,333.9,285.9
Tom Brady*,4,7,NWE,QB,34,16,16,401,611,5235,39,12,43,109,3,0,0,0,0,370,385.3,376.3
LeSean McCoy*+,2,8,PHI,RB,23,15,15,0,0,0,0,0,273,1309,17,69,48,315,3,282,335.9,305.4
Matthew Stafford,5,9,DET,QB,23,16,16,421,663,5038,41,16,22,78,0,0,0,0,0,347,361.8,356.3
Maurice Jones-Drew*+,3,10,JAX,RB,26,16,16,0,0,0,0,0,343,1606,8,64,43,374,3,264,310.0,279.5
Arian Foster*,4,11,HOU,RB,25,13,13,0,0,0,0,0,278,1224,10,72,53,617,2,256,312.1,276.6
Jordy Nelson,2,12,GNB,WR,26,16,9,0,0,0,0,0,0,0,0,96,68,1263,15,216,287.3,250.3
Jimmy Graham*,2,13,NOR,TE,25,16,11,0,0,0,0,0,0,0,0,149,99,1310,11,197,298.5,245.5
Wes Welker*+,3,14,NWE,WR,30,16,15,0,0,0,0,0,4,30,0,173,122,1569,9,214,338.4,273.9
Victor Cruz,4,15,NYG,WR,25,16,7,0,0,0,0,0,1,3,0,131,82,1536,9,208,292.4,247.9
Larry Fitzgerald*,5,16,ARI,WR,28,16,16,0,0,0,0,0,0,0,0,154,80,1411,8,189,272.1,229.1
Steve Smith*,6,17,CAR,WR,32,16,16,0,0,0,0,0,6,56,0,129,79,1394,7,189,269.5,225.5
Marshawn Lynch*,5,18,SEA,RB,25,15,15,0,2,0,0,0,285,1204,12,41,28,212,1,220,252.1,230.6
Michael Turner,6,19,ATL,RB,29,16,15,0,0,0,0,0,301,1340,11,26,17,168,0,217,238.3,222.3
Percy Harvin,7,20,MIN,WR,23,16,14,0,0,0,0,0,52,345,2,121,87,967,6,179,277.2,226.7
Roddy White*,8,21,ATL,WR,30,16,16,0,0,0,0,0,0,0,0,180,100,1296,8,178,280.6,227.6
Eli Manning*,6,22,NYG,QB,30,16,16,359,589,4933,29,16,35,15,1,0,0,0,0,289,303.8,296.8
Mike Wallace*,9,23,PIT,WR,25,16,14,0,0,0,0,0,5,57,0,114,72,1193,8,173,247.5,208.0
Vincent Jackson*,10,24,SDG,WR,28,16,16,0,0,0,0,0,3,51,0,115,60,1106,9,170,232.7,199.7
Tony Romo,7,25,DAL,QB,31,16,16,346,522,4184,31,10,22,46,1,0,0,0,0,282,291.5,285.0
Matt Ryan,8,26,ATL,QB,26,16,16,347,566,4177,29,12,37,84,2,0,0,0,0,281,292.0,286.5
Marques Colston,11,27,NOR,WR,28,14,7,0,0,0,0,0,0,0,0,107,80,1143,8,162,244.8,201.3
Hakeem Nicks,12,28,NYG,WR,23,15,15,0,0,0,0,0,0,0,0,133,76,1192,7,161,240.2,199.2
Brandon Marshall*,13,29,MIA,WR,27,16,16,0,0,0,0,0,1,13,0,141,81,1214,6,161,242.2,198.2
Ryan Mathews*,7,30,SDG,RB,24,14,14,0,0,0,0,0,222,1091,6,59,50,455,0,191,244.1,210.6
Adrian Peterson,8,31,MIN,RB,26,12,12,0,0,0,0,0,208,970,12,24,18,139,1,189,212.4,196.9
Aaron Hernandez,3,32,NWE,TE,22,14,12,0,0,0,0,0,5,45,0,113,79,910,7,138,219.0,176.0
Michael Bush,9,33,OAK,RB,27,16,9,0,0,0,0,0,256,977,7,47,37,418,1,188,230.0,205.0
Darren Sproles,10,34,NOR,RB,28,16,4,0,0,0,0,0,87,603,2,111,86,710,7,187,282.8,233.3
A.J. Green*,14,35,CIN,WR,23,15,15,0,0,0,0,0,5,53,0,115,65,1057,7,153,220.5,184.5
Philip Rivers*,9,36,SDG,QB,30,16,16,366,582,4624,27,20,26,36,1,0,0,0,0,265,283.1,275.6
Laurent Robinson,15,37,DAL,WR,26,14,4,0,0,0,0,0,0,0,0,80,54,858,11,152,208.8,178.8
Steven Jackson,11,38,STL,RB,28,15,15,0,0,0,0,0,260,1145,5,58,42,333,1,184,230.8,202.8
Nate Washington,16,39,TEN,WR,28,16,15,0,0,0,0,0,2,5,1,121,74,1023,7,151,227.8,187.8
Frank Gore*,12,40,SFO,RB,28,16,15,0,0,0,0,0,282,1211,8,31,17,114,0,183,202.5,187.0
Julio Jones,17,41,ATL,WR,22,13,13,0,0,0,0,0,6,56,0,95,54,959,8,150,206.0,175.5
Greg Jennings*,18,42,GNB,WR,28,13,13,0,0,0,0,0,0,0,0,101,67,949,9,149,218.9,182.4
Tony Gonzalez*,4,43,ATL,TE,35,16,16,0,0,0,0,0,0,0,0,116,80,875,7,130,212.5,169.5
Reggie Bush,13,44,MIA,RB,26,15,15,0,0,0,0,0,216,1086,6,52,43,296,1,180,227.2,197.7
Dez Bryant,19,45,DAL,WR,23,15,13,0,0,0,0,0,1,5,0,103,63,928,9,147,211.8,175.8
Dwayne Bowe,20,46,KAN,WR,27,16,14,0,0,0,0,0,1,12,0,142,81,1159,5,147,230.6,186.6
Jermichael Finley,5,47,GNB,TE,24,16,13,0,0,0,0,0,0,0,0,92,55,767,8,127,182.7,152.2
Jason Witten,6,48,DAL,TE,29,16,16,0,0,0,0,0,0,0,0,117,79,942,5,124,205.7,162.7
Mark Sanchez,10,49,NYJ,QB,25,16,16,308,543,3474,26,18,37,103,6,0,0,0,0,255,272.3,261.3
Steve Johnson,21,50,BUF,WR,25,16,16,0,0,0,0,0,0,0,0,134,76,1004,7,142,221.4,180.4
Fred Jackson,14,51,BUF,RB,30,10,10,0,0,0,0,0,170,934,6,50,39,442,0,174,217.6,191.1
Matt Forte*,15,52,CHI,RB,26,12,12,0,1,0,0,0,203,997,3,76,52,490,1,173,229.7,196.7
Antonio Gates*,7,53,SDG,TE,31,13,13,0,0,0,0,0,0,0,0,88,64,778,7,120,186.8,151.8
Chris Johnson,16,54,TEN,RB,26,16,16,0,0,0,0,0,262,1047,4,79,57,418,0,171,232.0,196.0
Beanie Wells,17,55,ARI,RB,23,14,14,0,0,0,0,0,245,1047,10,16,10,52,0,170,180.9,170.9
Pierre Garcon,22,56,IND,WR,25,16,16,0,0,0,0,0,4,28,0,134,70,947,6,134,205.5,166.5
Vernon Davis,8,57,SFO,TE,27,16,16,0,0,0,0,0,2,-5,0,95,67,792,6,115,183.2,145.2
Shonn Greene,18,58,NYJ,RB,26,16,15,0,0,0,0,0,253,1054,6,41,30,211,0,163,198.0,176.5
Torrey Smith,23,59,BAL,WR,22,16,14,0,0,0,0,0,4,39,0,95,50,841,7,130,182.5,154.0
Dustin Keller,9,60,NYJ,TE,27,16,12,0,0,0,0,0,0,0,0,115,65,815,5,112,179.0,143.0
Rashard Mendenhall,19,61,PIT,RB,24,15,15,0,0,0,0,0,228,928,9,28,18,154,0,162,185.7,170.2
Brent Celek,10,62,PHI,TE,26,16,16,0,0,0,0,0,0,0,0,98,62,811,5,111,176.1,142.1
Brandon Lloyd,24,63,2TM,WR,30,15,14,0,1,0,0,0,0,0,0,148,70,966,5,129,199.1,160.6
Michael Vick,11,64,PHI,QB,31,13,13,253,423,3303,18,14,76,589,1,0,0,0,0,241,256.0,245.0
Ahmad Bradshaw,20,65,NYG,RB,25,12,9,0,0,0,0,0,171,659,9,44,34,267,2,161,200.1,176.6
Antonio Brown*,25,66,PIT,WR,23,16,3,0,0,0,0,0,7,41,0,124,69,1108,2,127,204.9,167.4
Brandon Pettigrew,11,67,DET,TE,26,16,16,0,0,0,0,0,0,0,0,126,83,777,5,108,193.7,149.2
Jabar Gaffney,26,68,WAS,WR,31,16,15,0,0,0,0,0,0,0,0,114,68,947,5,125,195.2,157.7
Willis McGahee*,21,69,DEN,RB,30,15,14,0,0,0,0,0,249,1199,4,20,12,51,1,157,170.0,159.0
DeSean Jackson,27,70,PHI,WR,25,15,15,0,0,0,0,0,7,41,0,104,58,961,4,124,184.7,152.2
Darrius Heyward-Bey,28,71,OAK,WR,24,15,14,0,0,0,0,0,0,0,0,115,64,975,4,122,188.0,152.5
Reggie Wayne,29,72,IND,WR,33,16,16,0,0,0,0,0,0,0,0,132,75,960,4,120,198.0,157.5
Mike Tolbert,22,73,SDG,RB,26,15,1,0,0,0,0,0,121,490,8,79,54,433,2,152,211.3,177.3
Cedric Benson,23,74,CIN,RB,29,15,15,0,0,0,0,0,273,1067,6,22,15,82,0,151,166.4,153.4
Santonio Holmes,30,75,NYJ,WR,27,16,16,0,0,0,0,0,3,27,0,101,51,654,8,116,169.1,139.6
Marquis Johnson,3,76,STL,,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
