 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.1,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Marshall Faulk*+,1,1,STL,RB,26,16,16,0,1,0,0,0,253,1381,7,103,87,1048,5,317,408.9,358.4
Edgerrin James*+,2,2,IND,RB,21,16,16,0,0,0,0,0,369,1553,13,82,62,586,4,316,379.9,338.9
Kurt Warner*+,1,3,STL,QB,28,16,16,325,499,4353,41,13,23,92,1,0,0,0,0,329,340.8,333.3
Stephen Davis*,3,4,WAS,RB,25,14,14,0,0,0,0,0,290,1405,17,28,23,111,0,256,282.6,263.1
Eddie George*,4,5,TEN,RB,26,16,16,0,0,0,0,0,320,1304,9,65,47,458,4,254,304.7,272.7
Steve Beuerlein*,2,6,CAR,QB,34,16,16,343,571,4436,36,15,27,124,2,0,0,0,0,316,330.8,318.8
Marvin Harrison*+,1,7,IND,WR,27,16,16,0,0,0,0,0,1,4,0,184,115,1663,12,241,357.7,296.2
Wesley Walls*,1,8,CAR,TE,33,16,16,0,0,0,0,0,0,0,0,108,63,822,12,154,219.7,184.7
Emmitt Smith*,5,9,DAL,RB,30,15,15,0,0,0,0,0,329,1397,11,32,27,119,2,230,260.1,238.1
Tony Gonzalez*+,2,10,KAN,TE,23,15,15,0,0,0,0,0,0,0,0,104,76,849,11,151,228.9,186.9
Randy Moss*,2,11,MIN,WR,22,16,16,1,1,27,1,0,4,43,0,137,80,1413,11,217,304.2,259.7
Dorsey Levens,6,12,GNB,RB,29,14,14,0,0,0,0,0,279,1034,9,81,71,573,1,221,295.2,251.2
Charlie Garner,7,13,SFO,RB,27,16,15,0,0,0,0,0,241,1229,4,76,56,535,2,212,272.4,236.4
Cris Carter*+,3,14,MIN,WR,34,16,16,0,0,0,0,0,0,0,0,137,90,1241,13,202,295.1,247.1
Jimmy Smith*,4,15,JAX,WR,30,16,16,0,0,0,0,0,0,0,0,173,116,1636,6,202,320.1,258.6
Marcus Robinson,5,16,CHI,WR,24,16,11,0,0,0,0,0,0,0,0,149,84,1400,9,194,281.0,236.0
Isaac Bruce*,6,17,STL,WR,27,16,16,0,0,0,0,0,5,32,0,120,77,1165,12,194,273.7,232.2
Curtis Martin,8,18,NYJ,RB,26,16,16,0,0,0,0,0,367,1464,5,49,45,259,0,202,252.3,222.8
Ricky Watters,9,19,SEA,RB,30,16,16,0,0,0,0,0,325,1210,5,62,40,387,2,202,245.7,217.7
Rich Gannon*,3,20,OAK,QB,34,16,16,304,515,3840,24,14,46,298,2,1,1,-3,0,265,282.1,271.6
Peyton Manning*,4,21,IND,QB,23,16,16,331,533,4135,26,15,35,73,2,0,0,0,0,261,275.7,269.7
Duce Staley,10,22,PHI,RB,24,16,16,0,0,0,0,0,325,1273,4,66,41,294,2,193,237.2,208.2
Patrick Jeffers,7,23,CAR,WR,26,15,10,0,0,0,0,0,2,16,0,101,63,1082,12,182,247.8,213.3
Germane Crowell,8,24,DET,WR,23,16,15,0,0,0,0,0,5,38,0,148,81,1338,7,182,265.1,221.1
Michael Westbrook,9,25,WAS,WR,27,16,16,0,0,0,0,0,7,35,0,114,65,1191,9,179,245.1,208.1
Rickey Dudley,3,26,OAK,TE,27,16,16,0,0,0,0,0,0,0,0,59,39,555,9,110,151.5,129.0
Corey Dillon*,11,27,CIN,RB,25,15,15,0,0,0,0,0,263,1200,5,49,31,290,1,185,220.5,197.5
Brad Johnson*,5,28,WAS,QB,31,16,16,316,519,4005,24,13,26,31,2,0,0,0,0,247,257.3,248.3
Muhsin Muhammad*,10,29,CAR,WR,26,15,15,0,0,0,0,0,0,0,0,157,96,1253,8,173,271.8,220.3
James Stewart,12,30,JAX,RB,28,14,7,0,0,0,0,0,249,931,13,24,21,108,0,182,206.9,188.4
Tim Brown*,11,31,OAK,WR,33,16,16,0,0,0,0,0,1,4,0,145,90,1344,6,171,263.8,215.8
Tyrone Wheatley,13,32,OAK,RB,27,16,9,0,0,0,0,0,242,936,8,38,21,196,3,179,204.7,186.7
Olandis Gary,14,33,DEN,RB,24,12,12,0,0,0,0,0,276,1159,7,29,21,159,0,176,201.8,184.3
Keyshawn Johnson*,12,34,NYJ,WR,27,16,16,0,1,0,0,0,5,6,0,124,89,1170,8,166,257.6,210.1
Mike Alstott*+,15,35,TAM,RB,26,16,16,0,0,0,0,0,242,949,7,33,27,239,2,173,202.8,180.3
Rocket Ismail,13,36,DAL,WR,30,16,14,0,0,0,0,0,13,110,1,125,80,1097,6,163,248.2,201.7
Jerome Bettis,16,37,PIT,RB,27,16,16,1,1,21,1,0,299,1091,7,28,21,110,0,167,192.9,175.4
Albert Connell,14,38,WAS,WR,25,15,14,0,0,0,0,0,1,8,0,121,62,1132,7,156,220.5,186.0
Amani Toomer,15,39,NYG,WR,25,16,16,0,0,0,0,0,1,4,0,137,79,1183,6,155,236.7,194.2
Doug Flutie,6,40,BUF,QB,37,15,15,264,478,3171,19,16,88,476,1,0,0,0,0,224,243.4,234.4
David Sloan*,4,41,DET,TE,27,16,15,0,0,0,0,0,0,0,0,76,47,591,4,83,133.1,106.6
Brett Favre,7,42,GNB,QB,30,16,16,341,595,4091,22,23,28,142,0,0,0,0,0,222,246.3,235.8
Terry Allen,17,43,NWE,RB,31,16,13,0,0,0,0,0,254,896,8,19,14,125,1,156,172.1,155.1
Qadry Ismail,16,44,BAL,WR,29,16,16,0,0,0,0,0,1,4,0,140,68,1105,6,147,216.9,178.9
Curtis Enis,18,45,CHI,RB,23,15,12,0,0,0,0,0,287,916,3,68,45,340,2,156,204.6,174.1
Freddie Jones,5,46,SDG,TE,25,16,16,0,0,0,0,0,0,0,0,91,56,670,2,79,138.0,107.0
Kevin Johnson,17,47,CLE,WR,23,16,16,0,1,0,0,0,1,-6,0,137,66,986,8,146,214.5,178.0
Darnay Scott,18,48,CIN,WR,27,16,16,0,0,0,0,0,0,0,0,123,68,1022,7,144,215.2,178.2
Ed McCaffrey,19,49,DEN,WR,31,15,15,0,0,0,0,0,0,0,0,124,71,1018,7,144,217.8,179.3
Antonio Freeman,20,50,GNB,WR,27,16,16,0,0,0,0,0,1,-2,0,124,74,1074,6,143,219.7,179.2
Terry Kirby,19,51,CLE,RB,29,16,10,1,1,2,0,0,130,452,6,77,58,528,3,152,214.1,177.1
Johnnie Morton,21,52,DET,WR,28,16,12,0,0,0,0,0,0,0,0,133,80,1129,5,143,225.9,182.9
Derrick Mayes,22,53,SEA,WR,25,16,15,0,0,0,0,0,0,0,0,103,62,829,10,143,207.4,172.9
Eric Moulds,23,54,BUF,WR,26,14,14,0,0,0,0,0,1,1,0,101,65,994,7,142,209.0,173.0
Jay Riemersma,6,55,BUF,TE,26,14,11,0,0,0,0,0,0,0,0,61,37,496,4,74,113.6,92.1
Sean Dawkins,24,56,SEA,WR,28,16,13,0,0,0,0,0,0,0,0,114,58,992,7,141,201.7,169.2
Terry Glenn*,25,57,NWE,WR,25,14,13,0,0,0,0,0,0,0,0,115,69,1147,4,139,209.7,171.2
