 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-2.3,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Arian Foster*+,1,1,HOU,RB,24,16,13,0,0,0,0,0,327,1616,16,84,66,604,2,330,400.5,360.0
Peyton Hillis,2,2,CLE,RB,24,16,14,1,2,13,0,0,270,1177,11,77,61,477,2,244,306.9,266.4
Adrian Peterson*,3,3,MIN,RB,25,15,15,0,0,0,0,0,283,1298,12,50,36,341,1,242,283.4,258.9
Jamaal Charles*+,4,4,KAN,RB,24,16,6,0,0,0,0,0,230,1467,5,64,45,468,3,242,291.0,261.0
Chris Johnson*,5,5,TEN,RB,25,16,16,0,0,0,0,0,316,1364,11,57,44,245,1,233,281.4,251.9
Brandon Lloyd*,1,6,DEN,WR,29,16,11,0,0,0,0,0,1,-18,0,153,77,1448,11,209,289.0,247.5
Dwayne Bowe*,2,7,KAN,WR,26,16,16,0,0,0,0,0,1,4,0,133,72,1162,15,207,281.1,241.6
Darren McFadden,6,8,OAK,RB,23,13,13,0,1,0,0,0,223,1157,7,61,47,507,3,226,277.4,245.9
Roddy White*+,3,9,ATL,WR,29,16,16,0,0,0,0,0,1,3,0,179,115,1389,10,203,320.7,259.7
Michael Vick*,1,10,PHI,QB,30,12,12,233,372,3018,21,6,100,676,9,0,0,0,0,316,322.8,311.3
Rashard Mendenhall,7,11,PIT,RB,23,16,16,0,0,0,0,0,324,1273,13,34,23,167,0,222,250.0,231.5
LeSean McCoy,8,12,PHI,RB,22,15,13,0,0,0,0,0,207,1080,7,91,78,592,2,221,304.2,258.2
Greg Jennings*,4,13,GNB,WR,27,16,16,0,0,0,0,0,1,-1,0,125,76,1265,12,198,276.4,234.4
Matt Forte,10,14,CHI,RB,25,16,16,0,0,0,0,0,237,1069,6,70,51,547,3,218,273.1,240.1
Michael Turner*,9,15,ATL,RB,28,16,15,0,0,0,0,0,334,1371,12,20,12,85,0,218,231.6,221.6
Ray Rice,11,16,BAL,RB,23,16,14,0,0,0,0,0,307,1220,5,83,63,556,1,214,282.6,245.1
Aaron Rodgers,2,17,GNB,QB,27,15,15,312,475,3922,28,11,64,356,4,0,0,0,0,306,321.5,313.5
Mike Wallace,5,18,PIT,WR,24,16,16,0,0,0,0,0,5,39,0,98,60,1257,10,190,252.1,218.6
Calvin Johnson*,6,19,DET,WR,25,15,15,0,0,0,0,0,4,32,0,137,77,1120,12,189,268.7,226.7
Tom Brady*+,3,20,NWE,QB,33,16,16,324,492,3900,36,4,31,30,1,0,0,0,0,301,306.5,302.0
Ahmad Bradshaw,12,21,NYG,RB,24,16,11,0,0,0,0,0,276,1235,8,58,47,314,0,205,254.4,221.4
Maurice Jones-Drew*,13,22,JAX,RB,25,14,14,0,1,0,0,1,299,1324,5,44,34,317,2,204,244.1,220.1
