 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.9,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Priest Holmes*+,1,1,KAN,RB,29,14,14,0,1,0,0,0,313,1615,21,81,70,672,3,373,448.2,406.7
Ricky Williams*+,2,2,MIA,RB,25,16,16,0,0,0,0,0,383,1853,16,59,47,363,1,324,373.1,340.1
LaDainian Tomlinson*,3,3,SDG,RB,23,16,16,0,0,0,0,0,372,1683,14,101,79,489,1,307,390.7,343.7
Clinton Portis,4,4,DEN,RB,21,16,12,0,0,0,0,0,273,1508,15,49,33,364,2,289,325.7,300.7
Shaun Alexander,5,5,SEA,RB,25,16,16,0,0,0,0,0,295,1175,16,78,59,460,2,272,335.0,298.0
Deuce McAllister*,6,6,NOR,RB,24,15,15,0,0,0,0,0,325,1388,13,74,47,352,3,270,321.0,289.5
Marvin Harrison*+,1,7,IND,WR,30,16,16,0,0,0,0,0,2,10,0,205,143,1722,11,241,387.2,312.7
Tiki Barber,7,8,NYG,RB,27,16,15,0,0,0,0,0,304,1387,11,95,69,597,0,264,334.9,289.9
Travis Henry*,8,9,BUF,RB,24,16,16,0,0,0,0,0,325,1438,13,59,43,309,1,259,302.2,269.2
Charlie Garner,9,10,OAK,RB,30,16,15,0,0,0,0,0,182,962,7,111,91,941,4,256,353.3,301.8
Antowain Smith,1,11,NWE,TE,30,16,15,0,0,0,0,0,252,982,6,42,31,243,2,173,208.5,186.0
Hines Ward*,2,12,PIT,WR,26,16,16,0,0,0,0,0,12,142,0,160,112,1329,12,227,344.6,282.1
Terrell Owens*+,3,13,SFO,WR,29,14,14,0,0,0,0,0,7,79,1,159,100,1300,13,226,324.9,271.9
Eddie George,10,14,TEN,RB,29,16,16,0,0,0,0,0,343,1165,12,46,36,255,2,226,267.5,243.0
Rich Gannon*+,1,15,OAK,QB,37,16,16,418,618,4689,26,10,50,156,3,0,0,0,0,309,320.7,310.2
Fred Taylor,11,16,JAX,RB,26,16,16,0,0,0,0,0,287,1314,8,57,49,408,0,222,275.7,243.7
Jamal Lewis,12,17,BAL,RB,23,16,15,0,0,0,0,0,308,1327,6,60,47,442,1,219,267.9,234.4
Daunte Culpepper,2,18,MIN,QB,25,16,16,333,549,3853,18,23,106,609,10,0,0,0,0,303,320.5,303.0
Ahman Green*,13,19,GNB,RB,25,14,14,0,0,0,0,0,286,1240,7,74,57,393,2,217,278.3,241.8
Eric Moulds*,4,20,BUF,WR,29,16,15,0,0,0,0,0,1,7,0,180,100,1292,10,190,292.4,238.9
Randy Moss*,5,21,MIN,WR,25,16,16,1,3,13,1,0,6,51,0,185,106,1347,7,186,294.8,238.3
Marshall Faulk*,14,22,STL,RB,29,14,10,0,0,0,0,0,212,953,8,102,80,537,2,209,293.0,245.0
Michael Vick*,3,23,ATL,QB,22,15,15,231,421,2936,16,8,113,777,8,1,0,16,0,293,302.2,291.7
Duce Staley,15,24,PHI,RB,27,16,16,0,0,0,0,0,269,1029,5,69,51,541,3,207,262.5,229.5
Todd Heap*,2,25,BAL,TE,22,16,16,0,1,0,0,0,4,38,0,122,68,836,6,125,196.4,159.4
Amani Toomer,6,26,NYG,WR,28,16,16,0,0,0,0,0,1,2,0,134,82,1343,8,183,267.5,223.5
Corey Dillon,16,27,CIN,RB,28,16,16,0,0,0,0,0,314,1311,7,61,43,298,0,203,249.4,219.4
Plaxico Burress,7,28,PIT,WR,25,16,15,0,0,0,0,0,0,0,0,144,78,1325,7,179,256.5,213.5
Peerless Price,8,29,BUF,WR,26,16,16,0,0,0,0,0,3,-13,0,148,94,1252,9,178,273.9,222.9
Tony Gonzalez*,3,30,KAN,TE,26,16,16,0,0,0,0,0,0,0,0,99,63,773,7,119,185.3,150.8
Michael Bennett*,17,31,MIN,RB,24,16,16,0,0,0,0,0,255,1296,5,41,37,351,1,201,241.7,215.2
Joe Horn*,9,32,NOR,WR,30,16,16,0,0,0,0,0,1,2,0,149,88,1312,7,175,265.9,218.4
Donald Driver*,10,33,GNB,WR,27,16,16,0,0,0,0,0,8,70,0,113,70,1064,9,167,239.9,201.4
Curtis Martin,18,34,NYJ,RB,29,16,16,0,0,0,0,0,261,1094,7,56,49,362,0,190,244.6,214.1
Jerry Rice*,11,35,OAK,WR,40,16,16,0,0,0,0,0,3,20,0,150,92,1211,7,165,259.6,210.1
Laveranues Coles,12,36,NYJ,WR,25,16,16,0,0,0,0,0,6,39,0,134,89,1264,5,162,253.8,205.8
Garrison Hearst,19,37,SFO,RB,31,16,16,0,0,0,0,0,215,972,8,69,48,317,1,185,236.9,204.9
Marty Booker*,13,38,CHI,WR,26,16,16,1,5,44,1,0,0,0,0,168,97,1189,6,161,260.7,209.2
Warrick Dunn,20,39,ATL,RB,27,15,14,0,0,0,0,0,230,927,7,66,50,377,2,184,238.4,205.4
Koren Robinson,14,40,SEA,WR,22,16,16,0,0,0,0,0,8,56,0,141,78,1240,5,160,239.6,196.6
Peyton Manning*,4,41,IND,QB,26,16,16,392,591,4200,27,19,38,148,2,0,0,0,0,269,290.8,281.8
Torry Holt,15,42,STL,WR,26,16,11,0,0,0,0,0,2,18,0,160,91,1302,4,156,249.5,200.5
Marcel Shipp,21,43,ARI,RB,24,15,6,0,0,0,0,0,188,834,6,49,38,413,3,179,220.7,193.7
Aaron Brooks,5,44,NOR,QB,26,16,16,283,528,3572,27,15,62,253,2,0,0,0,0,262,277.7,266.2
Isaac Bruce,16,45,STL,WR,30,16,16,0,0,0,0,0,3,18,0,130,79,1075,7,151,232.3,188.8
Jeff Garcia*,6,46,SFO,QB,32,16,16,328,528,3344,21,10,73,353,3,0,0,0,0,259,274.1,267.1
Drew Bledsoe*,7,47,BUF,QB,30,16,16,375,610,4359,24,15,27,67,2,0,0,0,0,259,271.6,263.1
Bubba Franks*,4,48,GNB,TE,24,16,15,1,1,31,1,0,0,0,0,71,54,442,7,91,148.4,118.4
Rod Gardner,17,49,WAS,WR,25,16,15,0,1,0,0,0,1,1,0,141,71,1006,8,149,222.2,183.2
James Stewart,22,50,DET,RB,31,14,9,0,1,0,0,0,231,1021,4,70,46,333,2,171,223.4,194.4
Jimmy Smith,18,51,JAX,WR,33,16,16,0,0,0,0,0,1,2,0,137,80,1027,7,147,229.9,186.9
Trent Green,8,52,KAN,QB,32,16,16,287,470,3690,26,13,31,225,1,0,0,0,0,256,274.6,268.1
Chad Johnson,19,53,CIN,WR,24,16,14,0,0,0,0,0,0,0,0,137,69,1166,5,147,218.6,181.1
Tom Brady,9,54,NWE,QB,25,16,16,373,601,3764,28,14,42,110,1,0,0,0,0,256,270.1,258.6
Steve McNair,10,55,TEN,QB,29,16,16,301,492,3387,22,15,82,440,3,0,0,0,0,255,272.0,261.5
Shannon Sharpe,5,56,DEN,TE,34,13,13,0,0,0,0,0,0,0,0,88,61,686,3,87,150.6,117.1
Marcus Pollard,6,57,IND,TE,30,15,15,0,0,0,0,0,0,0,0,69,43,478,6,86,131.3,106.3
Keyshawn Johnson,20,58,TAM,WR,30,16,16,0,0,0,0,0,0,0,0,142,76,1088,5,143,221.8,180.8
Quincy Morgan,21,59,CLE,WR,25,16,16,0,0,0,0,0,3,7,0,97,56,964,7,139,197.1,165.1
Billy Miller,7,60,HOU,TE,25,16,7,0,0,0,0,0,0,0,0,80,51,613,3,79,133.3,104.8
Rod Smith,22,61,DEN,WR,32,16,16,0,1,0,0,0,6,9,0,147,89,1027,5,134,225.1,177.1
Travis Taylor,23,62,BAL,WR,23,16,15,0,0,0,0,0,11,105,0,118,61,869,6,133,200.4,163.9
Curtis Conway,24,63,SDG,WR,31,13,13,0,0,0,0,0,7,53,2,94,57,852,5,133,191.5,159.0
Derrick Mason,25,64,TEN,WR,28,14,14,0,0,0,0,0,0,0,0,125,79,1012,5,131,212.2,168.7
Randy McMichael,8,65,MIA,TE,23,16,16,0,0,0,0,0,1,8,0,68,39,485,4,73,114.8,91.8
Joey Galloway,26,66,DAL,WR,31,16,16,0,0,0,0,0,4,31,0,120,61,908,6,130,192.9,158.4
Edgerrin James,23,67,IND,RB,24,14,14,0,0,0,0,0,277,989,2,80,61,354,1,152,217.3,178.8
Kyle Brady,9,68,JAX,TE,30,16,16,0,0,0,0,0,0,0,0,67,43,461,4,70,116.1,91.6
Jerry Porter,27,69,OAK,WR,24,16,14,0,0,0,0,0,4,6,0,70,51,688,9,127,181.4,152.9
Christian Fauria,10,70,NWE,TE,31,16,13,0,0,0,0,0,0,0,0,40,27,253,7,69,99.3,82.8
Donovan McNabb*,11,71,PHI,QB,26,10,10,211,361,2289,17,6,63,460,6,1,0,0,0,234,242.6,233.6
James Thrash,28,72,PHI,WR,27,16,16,0,0,0,0,0,18,126,2,107,52,635,6,124,181.6,149.1
Wayne Chrebet,29,73,NYJ,WR,29,15,15,0,1,0,0,0,0,0,0,80,51,691,9,123,176.1,146.6
Ernie Conwell,11,74,STL,TE,30,16,11,0,0,0,0,0,6,30,1,48,34,419,2,63,99.9,79.9
Darian Barnes,10,75,TAM,,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dennis McKinley,8,76,ARI,,26,12,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
Terry Jackson,3,77,SFO,,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Harold Morrow,9,78,MIN,,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Brett Favre*,12,,GNB,QB,33,16,16,341,551,3658,27,16,25,73,0,0,0,0,0,230,243.6,235.6
Chad Pennington,13,,NYJ,QB,26,15,12,275,399,3120,22,6,29,49,2,0,0,0,0,220,227.7,223.7
Kerry Collins,14,,NYG,QB,30,16,16,335,545,4073,19,14,44,-3,0,0,0,0,0,213,225.6,218.6
Brad Johnson*,15,,TAM,QB,34,13,13,281,451,3049,22,6,13,30,0,0,0,0,0,205,210.0,203.0
Jake Plummer,16,,ARI,QB,28,16,16,284,530,2972,18,20,46,283,2,1,1,2,0,193,213.9,200.9
Mark Brunell,17,,JAX,QB,32,15,15,245,416,2788,17,7,43,207,0,0,0,0,0,190,200.7,192.2
Matt Hasselbeck,18,,SEA,QB,27,16,10,267,419,3075,15,10,40,202,1,0,0,0,0,189,202.7,194.2
Jon Kitna,19,,CIN,QB,30,14,12,294,473,3178,16,16,24,57,4,0,0,0,0,189,202.8,194.8
Drew Brees,20,,SDG,QB,23,16,16,320,526,3284,17,16,38,130,1,0,0,0,0,188,209.4,202.4
Brian Griese,21,,DEN,QB,27,13,13,291,436,3214,15,15,37,107,1,0,0,0,0,175,195.3,188.3
Tommy Maddox,22,,PIT,QB,31,15,11,234,377,2836,20,16,19,43,0,2,0,0,0,172,186.7,179.7
David Carr,23,,HOU,QB,23,16,16,233,444,2592,9,15,59,282,3,0,0,0,0,160,170.4,153.9
Tim Couch,24,,CLE,QB,25,14,14,273,443,2842,18,18,23,77,0,0,0,0,0,159,177.4,171.4
Jay Fiedler,25,,MIA,QB,31,11,10,179,292,2024,14,9,28,99,3,0,0,0,0,147,157.4,152.9
Stephen Davis,24,,WAS,RB,28,12,12,0,0,0,0,0,207,820,7,33,23,142,1,144,171.2,151.7
Rodney Peete,26,,CAR,QB,36,14,14,223,381,2630,15,14,22,14,0,0,0,0,0,139,150.6,142.6
William Green,26,,CLE,RB,23,16,10,0,0,0,0,0,243,887,6,27,16,113,0,136,156.0,140.0
Emmitt Smith,25,,DAL,RB,33,16,16,0,0,0,0,0,254,975,5,24,16,89,0,136,153.9,141.4
Amos Zereoue,27,,PIT,RB,26,16,5,0,0,0,0,0,193,762,4,53,42,341,0,134,181.3,153.3
Moe Williams,28,,MIN,RB,28,16,0,0,0,0,0,0,84,414,11,43,27,251,0,133,165.0,145.0
Jeff Blake,27,,BAL,QB,32,11,10,165,295,2084,13,11,39,106,1,0,0,0,0,132,145.0,135.0
Lamar Smith,29,,CAR,RB,32,11,11,0,0,0,0,0,209,737,7,26,20,167,0,132,157.4,140.4
Jerome Bettis,30,,PIT,RB,30,13,11,0,0,0,0,0,187,666,9,9,7,57,0,126,135.8,128.8
Michael Pittman,31,,TAM,RB,27,16,15,0,0,0,0,0,204,718,1,86,59,477,0,126,189.0,152.0
Anthony Thomas,32,,CHI,RB,25,12,12,0,0,0,0,0,214,721,6,41,24,163,0,124,151.9,131.4
Marc Bulger,28,,STL,QB,25,7,7,138,214,1826,14,6,12,-13,1,1,1,3,0,122,131.0,126.5
Mike Alstott*,33,,TAM,RB,29,16,9,0,0,0,0,0,146,548,5,48,35,242,2,121,160.0,134.5
Brian Finneran,31,,ATL,WR,26,16,16,0,0,0,0,0,0,0,0,102,56,838,6,120,177.8,145.8
Todd Pinkston,30,,PHI,WR,25,15,15,0,0,0,0,0,1,-15,0,113,60,798,7,120,182.3,148.3
Antonio Bryant,32,,DAL,WR,21,16,15,0,0,0,0,0,6,40,0,93,44,733,6,113,158.8,132.3
Jim Miller,29,,CHI,QB,31,10,8,180,314,1944,13,9,13,11,0,0,0,0,0,113,121.9,115.9
David Patten,33,,NWE,WR,28,16,14,0,1,0,0,0,2,6,0,120,61,824,5,113,177.0,143.5
Darrell Jackson,34,,SEA,WR,24,13,13,0,0,0,0,0,3,3,0,112,62,877,4,112,175.5,140.0
Kevan Barlow,34,,SFO,RB,23,14,0,0,0,0,0,0,145,675,4,21,14,136,1,111,130.1,116.1
Troy Brown,35,,NWE,WR,31,14,13,0,0,0,0,0,3,14,0,141,97,890,3,110,208.4,154.9
Jamel White,35,,CLE,RB,25,14,6,0,0,0,0,0,106,470,3,86,63,452,0,110,179.2,141.7
Dennis Northcutt,37,,CLE,WR,25,13,0,0,0,0,0,0,8,104,1,50,38,601,5,109,163.5,137.5
Derrius Thompson,36,,WAS,WR,25,16,14,0,0,0,0,0,10,77,0,93,53,773,4,109,164.0,133.5
Joey Harrington,30,,DET,QB,24,14,12,215,429,2294,12,16,7,4,0,0,0,0,0,108,126.2,122.2
Eddie Kennison,38,,KAN,WR,29,16,14,0,0,0,0,0,7,58,0,92,53,906,2,108,164.4,134.9
Donte' Stallworth,39,,NOR,WR,22,13,7,0,0,0,0,0,2,2,0,69,42,594,8,108,152.6,128.6
Tim Brown,40,,OAK,WR,36,16,16,0,0,0,0,0,6,19,0,127,81,930,2,107,189.4,144.4
Stacey Mack,36,,JAX,RB,27,16,0,0,0,0,0,0,98,436,9,13,11,79,0,106,119.5,111.0
Tai Streets,41,,SFO,WR,25,16,14,0,0,0,0,0,0,0,0,109,72,756,5,106,180.1,140.6
Corey Bradford,43,,HOU,WR,27,16,16,0,0,0,0,0,2,-11,0,106,45,697,6,105,152.6,127.1
Ed McCaffrey,44,,DEN,WR,34,16,16,0,0,0,0,0,2,22,0,103,69,903,2,105,176.0,138.0
Steve Smith,42,,CAR,WR,23,15,13,0,0,0,0,0,1,-4,0,98,54,872,3,105,171.3,138.8
Muhsin Muhammad,45,,CAR,WR,29,14,14,0,0,0,0,0,3,40,0,108,63,823,3,104,170.3,135.8
Keenan McCardell,46,,TAM,WR,32,14,14,0,0,0,0,0,1,3,0,101,61,670,6,103,166.8,132.8
Jeremy Shockey*+,37,,NYG,RB,22,15,14,0,0,0,0,0,0,0,0,128,74,894,2,101,176.9,135.4
