 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.8,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Emmitt Smith*+,1,1,DAL,RB,23,16,16,0,0,0,0,0,373,1713,18,74,59,335,1,319,381.8,344.3
Thurman Thomas*,2,2,BUF,RB,26,16,16,0,0,0,0,0,312,1487,9,87,58,626,3,283,344.3,306.3
Barry Foster*+,3,3,PIT,RB,24,16,15,0,1,0,0,0,390,1690,11,50,36,344,0,269,306.9,278.4
Terry Allen,4,4,MIN,RB,24,16,16,0,0,0,0,0,266,1201,13,70,49,478,2,258,308.4,273.4
Steve Young*+,1,5,SFO,QB,31,16,16,268,402,3465,25,7,76,537,4,,0,0,0,302,310.8,300.3
Sterling Sharpe*+,1,6,GNB,WR,27,16,16,0,0,0,0,0,4,8,0,162,108,1461,13,225,334.9,276.9
Lorenzo White*,5,7,HOU,RB,26,16,16,0,0,0,0,0,265,1226,7,77,57,641,1,235,296.7,261.2
Rodney Hampton*,6,8,NYG,RB,23,16,16,0,0,0,0,0,257,1141,14,38,28,215,0,220,253.1,232.6
Barry Sanders*,7,9,DET,RB,24,16,16,0,1,0,0,0,312,1352,9,40,29,225,1,218,249.7,226.2
Jerry Rice*+,2,10,SFO,WR,30,16,16,0,0,0,0,0,9,58,1,139,84,1201,10,192,277.9,231.9
Ricky Watters*,8,11,SFO,RB,23,14,13,0,1,0,0,0,206,1013,9,52,43,405,2,208,255.8,227.3
Cleveland Gary,9,12,RAM,RB,26,16,16,0,0,0,0,0,279,1125,7,55,52,293,3,202,255.3,218.8
Michael Irvin*,3,13,DAL,WR,26,16,14,0,0,0,0,0,1,-9,0,122,78,1396,7,181,261.2,218.7
Andre Rison*,4,14,ATL,WR,25,15,13,0,0,0,0,0,0,0,0,144,93,1119,11,178,272.9,222.4
Herschel Walker,10,15,PHI,RB,30,16,16,0,1,0,0,0,267,1070,8,47,38,278,2,195,235.8,207.8
Randall Cunningham,2,16,PHI,QB,29,15,15,233,384,2775,19,11,87,549,5,1,0,0,0,250,260.4,247.9
Reggie Cobb,11,17,TAM,RB,24,16,13,0,0,0,0,0,310,1171,9,25,21,156,0,187,212.2,194.2
Earnest Byner,12,18,WAS,RB,30,16,16,1,3,41,1,0,262,998,6,49,39,338,1,181,225.7,199.7
