 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-1.6,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Priest Holmes*+,1,1,KAN,RB,30,16,16,0,1,0,0,0,320,1420,27,90,74,690,0,373,452.5,409.0
Ahman Green*,2,2,GNB,RB,26,16,16,0,0,0,0,0,355,1883,15,60,50,367,5,345,397.5,363.0
LaDainian Tomlinson,3,3,SDG,RB,24,16,16,1,1,21,1,0,313,1645,13,137,100,725,4,344,448.8,391.8
Jamal Lewis*+,4,4,BAL,RB,24,16,16,0,0,0,0,0,387,2066,14,38,26,205,0,311,339.1,316.1
Randy Moss*+,1,5,MIN,WR,26,16,16,0,1,0,0,0,6,18,0,172,111,1632,17,267,380.5,321.5
Torry Holt*+,2,6,STL,WR,27,16,15,0,0,0,0,0,1,5,0,183,117,1696,12,242,361.6,299.6
Clinton Portis*,5,7,DEN,RB,22,13,13,0,0,0,0,0,290,1591,14,51,38,314,0,277,319.0,292.5
Shaun Alexander*,6,8,SEA,RB,26,16,15,0,0,0,0,0,326,1435,14,59,42,295,2,269,315.0,286.0
Deuce McAllister*,7,9,NOR,RB,25,16,16,0,2,0,0,0,351,1641,8,87,69,516,0,264,335.7,292.2
Fred Taylor,8,10,JAX,RB,27,16,16,0,0,0,0,0,345,1572,6,74,48,370,1,236,287.2,254.2
Chad Johnson*,3,11,CIN,WR,25,16,14,0,0,0,0,0,0,0,0,154,90,1355,10,196,288.5,240.5
Ricky Williams,9,12,MIA,RB,26,16,16,0,0,0,0,0,392,1372,9,62,50,351,1,232,284.8,250.3
Tony Gonzalez*+,1,13,KAN,TE,27,16,16,0,0,0,0,0,0,0,0,106,71,916,10,152,225.6,187.1
Anquan Boldin*,4,14,ARI,WR,23,16,16,0,1,0,0,1,5,40,0,165,101,1377,8,188,291.2,236.2
Marvin Harrison*,5,15,IND,WR,31,15,15,0,0,0,0,0,1,3,0,142,94,1272,10,188,283.5,232.5
Edgerrin James,10,16,IND,RB,25,13,13,0,0,0,0,0,310,1259,11,71,51,292,0,221,275.6,241.6
Hines Ward*,6,17,PIT,WR,27,16,16,0,0,0,0,0,11,61,0,156,95,1163,10,182,280.4,229.9
Derrick Mason*,7,18,TEN,WR,29,16,16,0,0,0,0,0,3,11,0,133,95,1303,8,179,277.4,226.9
Travis Henry,11,19,BUF,RB,25,15,15,0,1,0,0,1,331,1356,10,40,28,158,1,215,246.9,223.4
Santana Moss,8,20,NYJ,WR,24,16,12,0,0,0,0,0,10,67,0,117,74,1105,10,177,252.2,210.2
Stephen Davis*,12,21,CAR,RB,29,14,14,0,0,0,0,0,318,1444,8,17,14,159,0,208,226.8,212.3
Darrell Jackson,9,22,SEA,WR,25,16,16,0,0,0,0,0,0,0,0,130,68,1137,9,168,238.2,200.7
Daunte Culpepper*,1,23,MIN,QB,26,14,14,295,454,3479,25,11,73,422,4,0,0,0,0,285,294.4,280.4
Keenan McCardell*,10,24,TAM,WR,33,16,16,0,0,0,0,0,0,0,0,139,84,1174,8,165,257.9,212.4
Chris Chambers,11,25,MIA,WR,25,16,16,0,0,0,0,0,4,30,0,130,64,963,11,165,231.8,196.3
Shannon Sharpe,2,26,DEN,TE,35,15,15,0,0,0,0,0,0,0,0,94,62,770,8,125,190.0,156.0
Terrell Owens*,12,27,SFO,WR,30,15,15,0,0,0,0,0,3,-2,0,146,80,1102,9,164,247.0,204.0
Laveranues Coles*,13,28,WAS,WR,26,16,16,0,0,0,0,0,10,39,0,159,82,1204,6,160,245.3,201.3
Joe Horn,14,29,NOR,WR,31,15,14,1,1,14,0,0,2,15,0,130,78,973,10,159,239.4,196.4
Steve Smith,15,30,CAR,WR,24,16,11,0,0,0,0,0,11,42,0,142,88,1110,7,157,251.7,202.2
Peyton Manning*+,2,31,IND,QB,27,16,16,379,566,4267,29,10,28,26,0,1,1,-2,0,271,282.1,275.6
Tiki Barber,13,32,NYG,RB,28,16,16,0,0,0,0,0,278,1216,2,98,69,461,1,188,258.2,213.2
Moe Williams,14,33,MIN,RB,29,16,7,0,0,0,0,0,174,745,5,87,65,644,3,187,256.9,217.4
Domanick Williams,15,34,HOU,RB,23,14,10,0,0,0,0,0,238,1031,8,68,47,351,0,186,237.2,205.7
Peter Warrick,16,35,CIN,WR,26,15,14,0,0,0,0,0,18,157,0,122,79,819,7,140,229.6,183.1
Marshall Faulk,16,36,STL,RB,30,11,11,0,0,0,0,0,209,818,10,61,45,290,1,177,227.8,199.3
Kevan Barlow,17,37,SFO,RB,24,16,4,0,0,0,0,0,201,1024,6,44,35,307,1,175,213.6,187.6
