 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.6,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Chris Johnson*+,1,1,TEN,RB,24,16,16,0,1,0,0,0,358,2006,14,71,50,503,2,349,403.4,370.9
Adrian Peterson*+,2,2,MIN,RB,24,16,15,0,0,0,0,0,314,1383,18,57,43,436,0,290,335.4,304.4
Maurice Jones-Drew*,3,3,JAX,RB,24,16,16,0,0,0,0,0,312,1391,15,71,53,374,1,273,330.5,297.0
Aaron Rodgers*,1,4,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5,0,0,0,0,351,359.0,348.0
Ray Rice*,4,5,BAL,RB,22,16,15,0,1,0,0,0,254,1339,7,101,78,702,1,252,334.6,288.1
Andre Johnson*+,1,6,HOU,WR,28,16,16,0,0,0,0,0,2,10,0,171,101,1569,9,214,317.4,263.4
Randy Moss,2,7,NWE,WR,32,16,16,0,0,0,0,0,0,0,0,137,83,1264,13,206,291.4,245.9
Frank Gore*,5,8,SFO,RB,26,14,14,0,0,0,0,0,229,1120,10,75,52,406,3,231,286.6,252.6
Thomas Jones,6,9,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,14,18,10,58,0,230,242.0,233.0
Miles Austin*,3,10,DAL,WR,25,16,9,0,0,0,0,0,2,-2,0,124,81,1320,11,198,281.3,237.3
Vernon Davis*,1,11,SFO,TE,25,16,16,0,0,0,0,0,0,0,0,128,78,965,13,175,255.5,213.5
DeSean Jackson*,4,12,PHI,WR,23,15,15,0,0,0,0,0,11,137,1,117,62,1156,9,189,267.8,229.3
Dallas Clark*+,2,13,IND,TE,30,16,16,0,0,0,0,0,2,11,0,133,100,1106,10,172,274.2,220.7
Larry Fitzgerald*,5,14,ARI,WR,26,16,16,0,0,0,0,0,0,0,0,153,97,1092,13,187,287.2,235.7
Drew Brees*,2,15,NOR,QB,30,15,15,363,514,4388,34,11,22,33,2,1,1,-4,0,306,316.4,307.9
Ricky Williams,7,16,MIA,RB,32,16,7,0,1,0,0,1,241,1121,11,53,35,264,2,217,256.0,230.0
Reggie Wayne*,6,17,IND,WR,31,16,16,0,1,0,0,1,0,0,0,149,100,1264,10,184,288.4,235.4
Roddy White*,7,18,ATL,WR,28,16,16,0,0,0,0,0,1,2,0,165,85,1153,11,182,269.0,223.0
Antonio Gates*,3,19,SDG,TE,29,16,16,0,0,0,0,0,0,0,0,114,79,1157,8,164,245.2,202.2
Ryan Grant,8,20,GNB,RB,27,16,16,0,0,0,0,0,282,1253,11,30,25,197,0,211,241.5,222.5
Sidney Rice*,8,21,MIN,WR,23,16,14,0,1,0,0,0,0,0,0,121,83,1312,8,179,264.7,219.7
Brandon Marshall*,9,22,DEN,WR,25,15,13,0,0,0,0,0,7,39,0,154,101,1120,10,176,279.9,226.4
Fred Jackson,10,23,BUF,WR,28,16,11,1,1,27,1,0,237,1062,2,61,46,371,2,172,222.4,191.4
Vincent Jackson*,11,24,SDG,WR,26,15,15,0,0,0,0,0,3,11,0,108,68,1167,9,172,242.8,205.8
Joseph Addai,9,25,IND,RB,26,15,15,1,1,22,1,0,219,828,10,63,51,336,3,199,255.8,223.8
Steven Jackson*,10,26,STL,RB,26,15,15,0,0,0,0,0,324,1416,4,75,51,322,0,198,253.8,221.3
Brett Favre*,3,27,MIN,QB,40,16,16,363,531,4202,33,7,9,7,0,1,1,-2,0,287,296.6,292.1
Matt Schaub*,4,28,HOU,QB,28,16,16,396,583,4770,29,15,48,57,0,0,0,0,0,285,301.0,296.5
