 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-1.0,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Barry Sanders*+,1,1,DET,RB,29,16,16,0,0,0,0,0,335,2053,11,50,33,305,3,320,357.3,333.3
Terrell Davis*+,2,2,DEN,RB,25,15,15,0,0,0,0,0,369,1750,15,58,42,287,0,300,345.7,316.7
Dorsey Levens*,3,3,GNB,RB,27,16,16,0,0,0,0,0,329,1435,7,67,53,370,5,255,311.0,276.0
Jerome Bettis*,4,4,PIT,RB,25,15,15,0,0,0,0,0,375,1665,7,24,15,110,2,232,249.5,233.0
Brett Favre*+,1,5,GNB,QB,28,16,16,304,513,3867,35,16,58,187,1,0,0,0,0,291,307.9,298.4
Rob Moore*+,1,6,ARI,WR,29,16,16,0,0,0,0,0,0,0,0,208,97,1584,8,208,308.4,256.9
Kordell Stewart,2,7,PIT,QB,25,16,16,236,440,3020,21,17,88,476,11,0,0,0,0,286,306.4,297.4
Napoleon Kaufman,5,8,OAK,RB,24,16,16,0,1,0,0,0,272,1294,6,50,40,403,2,218,260.2,230.7
Antonio Freeman,2,9,GNB,WR,25,16,16,0,0,0,0,0,1,14,0,137,81,1243,12,198,281.2,237.2
Karim Abdul-Jabbar,6,10,MIA,RB,23,16,14,0,0,0,0,0,283,892,15,49,29,261,1,211,244.8,222.8
Rod Smith,3,11,DEN,WR,27,16,16,0,0,0,0,0,5,16,0,131,70,1180,12,192,263.1,223.6
Cris Carter*,4,12,MIN,WR,32,16,16,0,0,0,0,0,0,0,0,158,89,1069,13,191,281.4,232.4
Yancey Thigpen*,5,13,PIT,WR,28,16,15,0,0,0,0,0,1,3,0,149,79,1398,7,184,265.6,222.6
Joey Galloway,6,14,SEA,WR,26,15,15,0,0,0,0,0,9,72,0,147,72,1049,12,184,258.6,219.1
Shannon Sharpe*+,1,15,DEN,TE,29,16,16,0,0,0,0,0,0,0,0,114,72,1107,3,131,205.2,165.7
Jeff George,3,16,OAK,QB,30,16,16,290,521,3917,29,9,17,44,0,1,0,0,0,263,271.6,265.1
Marshall Faulk,7,17,IND,RB,24,16,16,0,0,0,0,0,264,1054,7,73,47,471,1,201,251.0,219.0
John Elway*,4,18,DEN,QB,37,16,16,280,502,3635,27,11,50,218,1,0,0,0,0,261,272.7,261.2
Corey Dillon,8,19,CIN,RB,23,16,6,0,0,0,0,0,233,1129,10,33,27,259,0,199,231.3,211.3
Herman Moore*+,7,20,DET,WR,28,16,16,0,0,0,0,0,0,0,0,170,104,1293,8,179,286.3,231.3
Ricky Watters,9,21,PHI,RB,28,16,16,0,0,0,0,0,285,1110,7,73,48,440,0,197,249.5,218.0
Ben Coates*,2,22,NWE,TE,28,16,16,0,0,0,0,0,0,0,0,98,66,737,8,122,190.7,154.7
Tim Brown*,8,23,OAK,WR,31,16,16,0,0,0,0,0,5,19,0,162,104,1408,5,175,281.2,225.7
Steve McNair,5,24,TEN,QB,24,16,16,216,415,2665,14,13,101,674,8,0,0,0,0,254,265.0,251.0
Rickey Dudley,3,25,OAK,TE,25,16,16,0,0,0,0,0,0,0,0,91,48,787,7,121,171.7,144.7
Jamal Anderson,10,26,ATL,RB,25,16,15,1,4,27,1,1,290,1002,7,37,29,284,3,192,225.7,203.2
Michael Irvin,9,27,DAL,WR,31,16,16,0,0,0,0,0,0,0,0,157,75,1180,9,172,250.0,209.5
Eddie George*,11,28,TEN,RB,24,16,16,0,0,0,0,0,357,1399,6,12,7,44,1,188,196.3,187.8
Robert Smith,12,29,MIN,RB,25,14,14,0,0,0,0,0,232,1266,6,44,37,197,1,188,231.3,206.8
Warrick Dunn*,13,30,TAM,RB,22,16,10,0,0,0,0,0,224,978,4,56,39,462,3,186,229.0,201.5
Irving Fryar*,10,31,PHI,WR,35,16,16,0,0,0,0,0,0,0,0,153,86,1316,6,168,256.1,209.6
Wesley Walls*,4,32,CAR,TE,31,15,15,0,0,0,0,0,0,0,0,97,58,746,6,111,171.6,139.6
Curtis Martin,14,33,NWE,RB,24,13,13,0,0,0,0,0,274,1160,4,51,41,296,1,176,221.1,193.1
Raymont Harris,15,34,CHI,RB,27,13,13,0,0,0,0,0,275,1033,10,41,28,115,0,175,208.3,187.8
Jimmy Smith*,11,35,JAX,WR,28,16,16,0,0,0,0,0,0,0,0,152,82,1324,4,156,240.9,196.4
Drew Bledsoe*,6,36,NWE,QB,25,16,16,314,522,3706,28,15,28,55,0,0,0,0,0,236,251.7,246.7
Derrick Alexander,12,37,BAL,WR,26,15,13,0,0,0,0,0,1,0,0,124,65,1009,9,155,222.4,186.4
Frank Wycheck,5,38,TEN,TE,26,16,16,0,0,0,0,0,0,0,0,99,63,748,4,101,166.8,132.3
Bert Emanuel,13,39,ATL,WR,27,16,16,0,0,0,0,0,0,0,0,140,65,991,9,153,220.1,183.6
James Jett,14,40,OAK,WR,27,16,16,0,0,0,0,0,0,0,0,101,46,804,12,152,200.4,173.4
Andre Rison*,15,41,KAN,WR,30,16,16,0,0,0,0,0,1,2,0,151,72,1092,7,151,226.4,187.4
Jake Reed,16,42,MIN,WR,30,16,16,0,0,0,0,0,0,0,0,118,68,1138,6,150,220.8,183.8
Mark Brunell*,7,43,JAX,QB,27,14,14,264,435,3281,18,7,48,257,2,0,0,0,0,229,239.9,231.9
Keenan McCardell,17,44,JAX,WR,27,16,16,0,0,0,0,0,0,0,0,129,85,1164,5,146,234.4,188.9
Warren Moon*,8,45,SEA,QB,41,15,14,313,528,3678,25,16,17,40,1,0,0,0,0,225,240.6,234.1
Johnnie Morton,18,46,DET,WR,26,16,16,0,0,0,0,0,3,33,0,148,80,1057,6,145,227.0,183.0
Robert Brooks,19,47,GNB,WR,27,15,15,0,0,0,0,0,2,19,0,118,60,1010,7,145,207.9,174.9
Eric Green,6,48,BAL,TE,30,16,15,0,0,0,0,0,0,0,0,100,65,601,5,90,157.6,121.6
Steve Young*,9,49,SFO,QB,36,15,15,241,356,3029,19,6,50,199,3,0,0,0,0,223,233.1,225.1
Adrian Murrell,16,50,NYJ,RB,27,16,15,0,0,0,0,0,300,1086,7,41,27,106,0,161,192.2,170.7
Terrell Owens,20,51,SFO,WR,24,16,15,0,0,0,0,0,0,0,0,103,60,936,8,142,204.1,170.6
Garrison Hearst,17,52,SFO,RB,26,13,13,0,0,0,0,0,234,1019,4,27,21,194,2,157,183.3,165.8
Emmitt Smith,18,53,DAL,RB,28,16,16,0,0,0,0,0,261,1074,4,48,40,234,0,157,202.3,175.8
Troy Drayton,7,54,MIA,TE,27,16,15,0,0,0,0,0,0,0,0,50,39,558,4,80,121.8,99.3
Chris Calloway,21,55,NYG,WR,29,16,16,0,0,0,0,0,1,-1,0,98,58,849,8,133,193.8,161.8
Tony McGee,8,56,CIN,TE,26,16,16,0,0,0,0,0,0,0,0,53,34,414,6,79,116.4,96.4
Antowain Smith,19,57,BUF,RB,25,16,0,0,0,0,0,0,194,840,8,47,28,177,0,150,181.7,159.7
Mark Chmura*,9,58,GNB,TE,28,15,14,0,0,0,0,0,0,0,0,56,38,417,6,78,118.2,95.7
Frank Sanders,22,59,ARI,WR,24,16,16,1,1,26,0,0,1,5,0,143,75,1017,4,129,205.7,163.7
Natrone Means,20,60,JAX,RB,25,14,11,0,0,0,0,0,244,823,9,20,15,104,0,147,165.2,149.2
Tony Martin,23,61,SDG,WR,32,16,16,0,0,0,0,0,0,0,0,146,63,904,6,126,192.4,157.9
Keyshawn Johnson,24,62,NYJ,WR,25,16,16,0,0,0,0,0,0,0,0,135,70,963,5,126,199.3,161.3
Mike Alstott*+,21,63,TAM,RB,24,15,15,0,0,0,0,0,176,665,7,33,23,178,3,144,170.8,150.8
Marvin Harrison,25,64,IND,WR,25,16,15,0,0,0,0,0,2,-7,0,117,73,866,6,126,200.9,160.4
Brad Johnson,10,65,MIN,QB,29,13,13,275,452,3036,20,12,35,139,0,1,1,3,1,206,222.6,214.1
James Stewart,22,66,JAX,RB,26,16,5,0,0,0,0,0,136,555,8,49,41,336,1,143,190.1,163.6
Scott Mitchell,11,67,DET,QB,29,16,16,293,509,3484,19,14,37,83,1,0,0,0,0,204,213.2,202.7
Terance Mathis,26,68,ATL,WR,30,16,16,0,0,0,0,0,3,35,0,109,62,802,6,120,184.7,150.7
Ricky Proehl,27,69,CHI,WR,29,15,10,0,0,0,0,0,0,0,0,105,58,753,7,119,179.3,146.3
Andre Reed,28,70,BUF,WR,33,15,15,0,0,0,0,0,3,11,0,114,60,880,5,119,181.6,148.1
Michael Jackson,29,71,BAL,WR,28,16,15,0,0,0,0,0,0,0,0,137,69,918,4,118,188.8,150.3
Ernie Conwell,10,72,STL,TE,25,16,16,0,0,0,0,0,0,0,0,60,38,404,4,64,105.4,83.4
Chris Warren,23,73,SEA,RB,29,15,13,0,0,0,0,0,200,847,4,54,45,257,0,134,184.4,154.9
Freddie Jones,11,74,SDG,TE,23,13,8,0,0,0,0,0,0,0,0,69,41,505,2,63,106.5,83.0
Troy Aikman,12,75,DAL,QB,31,16,16,292,518,3283,19,12,25,79,0,0,0,0,0,195,207.2,201.2
Pete Mitchell,12,76,JAX,TE,26,16,12,0,0,0,0,0,0,0,0,47,35,380,4,62,100.0,79.5
Chris Hetherington,1,77,IND,,25,16,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Quinn Early,30,78,BUF,WR,32,16,16,0,0,0,0,0,0,0,0,122,60,853,5,115,178.3,145.3
Dan Marino,13,,MIA,QB,36,16,16,319,548,3780,16,11,18,-14,0,0,0,0,0,192,201.8,194.8
Chris Chandler*,14,,ATL,QB,32,14,14,202,342,2692,20,7,43,158,0,0,0,0,0,189,198.0,187.5
Tony Banks,15,,STL,QB,24,16,16,252,487,3254,14,13,47,186,1,0,0,0,0,185,196.3,182.8
Trent Dilfer*,16,,TAM,QB,25,16,16,217,386,2555,21,11,33,99,1,0,0,0,0,180,189.6,182.1
Vinny Testaverde,17,,BAL,QB,34,13,13,271,470,2971,18,15,34,138,0,1,1,-4,0,178,194.7,182.7
Neil O'Donnell,18,,NYJ,QB,31,15,14,259,460,2796,17,7,32,36,1,0,0,0,0,175,180.9,173.4
Erik Kramer,19,,CHI,QB,33,15,13,275,477,3011,14,14,27,83,2,0,0,0,0,173,184.2,175.7
Gus Frerotte,20,,WAS,QB,26,13,13,204,402,2682,17,12,25,65,2,0,0,0,0,170,180.8,173.8
Jake Plummer,21,,ARI,QB,23,10,9,157,296,2203,15,15,39,216,2,1,1,2,0,154,172.9,163.4
Jeff Blake,22,,CIN,QB,27,11,11,184,317,2125,8,7,45,234,3,0,0,0,0,146,155.9,146.4
Elvis Grbac,24,,KAN,QB,27,10,10,179,314,1943,11,6,30,168,1,0,0,0,0,137,148.0,141.5
Jim Harbaugh,23,,IND,QB,34,12,11,189,309,2060,10,4,36,206,0,0,0,0,0,137,145.0,137.0
Marcus Allen,24,,KAN,RB,37,16,0,2,2,15,2,0,124,505,11,14,11,86,0,134,145.7,135.2
Gary Brown,25,,SDG,RB,28,15,14,0,0,0,0,0,253,945,4,30,21,137,0,132,158.2,140.7
Charles Way,26,,NYG,RB,25,16,16,0,0,0,0,0,151,698,4,51,37,304,1,130,171.7,145.7
Fred Lane,27,,CAR,RB,22,13,7,0,0,0,0,0,182,809,7,13,8,27,0,126,134.6,125.6
Todd Collins,25,,BUF,QB,26,14,13,215,391,2367,12,13,30,77,0,0,0,0,0,124,135.4,127.4
Terry Allen,28,,WAS,RB,29,10,10,0,0,0,0,0,210,724,4,29,20,172,1,120,144.6,127.6
Lawrence Phillips,29,,2TM,RB,22,12,9,0,0,0,0,0,201,677,8,19,11,39,0,120,132.1,122.1
Bam Morris,30,,BAL,RB,25,11,8,0,0,0,0,0,204,774,4,38,29,176,0,119,152.0,129.5
Terry Kirby,31,,SFO,RB,27,16,3,0,0,0,0,0,125,418,6,34,23,279,1,116,149.2,130.2
Isaac Bruce,31,,STL,WR,25,12,12,0,0,0,0,0,0,0,0,119,56,815,5,112,170.0,138.5
Amp Lee,32,,STL,RB,26,16,1,0,0,0,0,0,28,104,0,93,61,825,3,111,177.9,141.4
Darnay Scott,32,,CIN,WR,25,16,15,0,0,0,0,0,1,6,0,97,54,797,5,110,167.3,137.3
Boomer Esiason,26,,CIN,QB,36,7,5,118,186,1478,13,2,8,11,0,0,0,0,0,108,112.7,109.2
Andre Hastings,33,,NOR,WR,27,16,16,0,0,0,0,0,4,35,0,118,48,722,5,108,158.2,130.7
