 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-3.5,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Adrian Peterson*+,1,1,MIN,RB,27,16,16,0,0,0,0,0,348,2097,12,51,40,217,1,307,355.4,327.4
Doug Martin*,2,2,TAM,RB,23,16,16,0,0,0,0,0,319,1454,11,70,49,472,1,263,318.6,287.1
Arian Foster*,3,3,HOU,RB,26,16,16,0,0,0,0,0,351,1424,15,58,40,217,2,262,310.1,282.1
Marshawn Lynch*+,4,4,SEA,RB,26,16,15,0,0,0,0,0,315,1590,11,30,23,196,1,247,277.6,258.1
Alfred Morris,5,5,WAS,RB,24,16,16,0,0,0,0,0,335,1613,13,16,11,77,0,241,258.0,246.5
Calvin Johnson*+,1,6,DET,WR,27,16,16,0,0,0,0,0,0,0,0,204,122,1964,5,220,348.4,281.4
Brandon Marshall*+,2,7,CHI,WR,28,16,16,0,0,0,0,0,1,-2,0,192,118,1508,11,217,337.6,275.6
Drew Brees*,1,8,NOR,QB,33,16,16,422,670,5177,43,19,15,5,1,0,0,0,0,346,368.6,364.6
Aaron Rodgers*,2,9,GNB,QB,29,16,16,371,552,4295,39,8,54,259,2,1,1,-1,0,344,362.6,352.1
Ray Rice*,6,10,BAL,RB,25,16,16,0,0,0,0,0,257,1143,9,83,61,478,1,222,289.1,252.6
Tom Brady*,3,11,NWE,QB,35,16,16,401,637,4827,34,8,23,32,4,0,0,0,0,340,351.3,348.3
Dez Bryant,3,12,DAL,WR,24,16,14,0,0,0,0,0,2,-5,0,138,92,1382,12,208,304.7,253.7
A.J. Green*,4,13,CIN,WR,24,16,16,0,0,0,0,0,4,38,0,164,97,1350,11,203,303.8,251.3
C.J. Spiller*,7,14,BUF,RB,25,16,9,0,0,0,0,0,207,1244,6,57,43,459,2,212,264.3,233.8
Demaryius Thomas*,5,15,DEN,WR,25,16,16,0,0,0,0,0,0,0,0,143,94,1434,10,197,297.4,244.4
Jamaal Charles*,8,16,KAN,RB,26,16,15,0,0,0,0,0,285,1509,5,49,35,236,1,205,248.5,222.0
Trent Richardson,9,17,CLE,RB,22,15,15,0,0,0,0,0,267,950,11,70,51,367,1,204,260.7,229.2
Cam Newton,4,18,CAR,QB,23,16,16,280,485,3869,19,12,127,741,8,1,0,6,0,323,344.5,335.5
Vincent Jackson*,6,19,TAM,WR,29,16,16,0,0,0,0,0,0,0,0,147,72,1384,8,188,263.4,224.4
Stevan Ridley,10,20,NWE,RB,23,16,12,0,0,0,0,0,290,1263,12,14,6,51,0,199,210.4,202.4
Andre Johnson*,7,21,HOU,WR,31,16,16,0,0,0,0,0,0,0,0,162,112,1598,4,186,298.8,239.8
Robert Griffin*,5,22,WAS,QB,22,15,15,258,393,3200,20,5,120,815,7,1,0,0,0,318,330.5,322.5
Frank Gore*,11,23,SFO,RB,29,16,16,0,0,0,0,0,258,1214,8,36,28,234,1,197,237.8,216.8
Eric Decker,8,24,DEN,WR,25,16,15,0,0,0,0,0,0,0,0,122,85,1064,13,184,272.4,226.9
Julio Jones*,9,25,ATL,WR,23,16,15,0,0,0,0,0,6,30,0,128,79,1198,10,183,264.8,222.3
Peyton Manning*+,6,26,DEN,QB,36,16,16,400,583,4659,37,11,23,6,0,0,0,0,0,311,327.0,322.0
Roddy White,10,27,ATL,WR,31,16,15,0,0,0,0,0,0,0,0,142,92,1351,7,177,272.1,223.1
Jimmy Graham,1,28,NOR,TE,26,15,9,0,0,0,0,0,0,0,0,135,85,982,9,152,240.2,194.7
Matt Ryan*,7,29,ATL,QB,27,16,16,422,615,4719,32,14,34,141,1,0,0,0,0,305,326.9,318.9
Wes Welker*,11,30,NWE,WR,31,16,12,0,0,0,0,0,2,20,0,174,118,1354,6,171,293.4,230.4
Marques Colston,12,31,NOR,WR,29,16,13,0,0,0,0,0,0,0,0,130,83,1154,10,171,259.4,212.9
Victor Cruz*,13,32,NYG,WR,26,16,16,0,0,0,0,0,0,0,0,143,86,1092,10,169,258.2,212.2
Rob Gronkowski*,2,33,NWE,TE,23,11,11,0,0,0,0,0,0,0,0,79,55,790,11,143,202.0,170.5
Matt Forte,12,34,CHI,RB,27,15,15,0,0,0,0,0,248,1094,5,59,44,340,1,177,228.4,199.4
Michael Crabtree,14,35,SFO,WR,25,16,16,0,0,0,0,0,1,8,0,127,85,1105,9,165,253.3,207.8
Tony Gonzalez*+,3,36,ATL,TE,36,16,16,0,0,0,0,0,0,0,0,124,93,930,8,141,237.0,187.5
Chris Johnson,13,37,TEN,RB,27,16,15,0,0,0,0,0,276,1243,6,49,36,232,0,176,221.5,193.5
Reggie Wayne*,15,38,IND,WR,34,16,15,0,0,0,0,0,1,-5,0,195,106,1355,5,163,273.0,216.0
James Jones,16,39,GNB,WR,28,16,16,0,0,0,0,0,0,0,0,98,64,784,14,162,229.4,194.4
Reggie Bush,14,40,MIA,RB,27,16,16,0,0,0,0,0,227,986,6,52,35,292,2,172,214.8,189.3
Shonn Greene,15,41,NYJ,RB,27,16,14,0,0,0,0,0,276,1063,8,30,19,151,0,167,193.4,176.9
Mike Williams,17,42,TAM,WR,25,16,16,1,1,28,0,0,0,0,0,126,63,996,9,155,220.7,186.2
Heath Miller*,4,43,PIT,TE,30,15,15,0,0,0,0,0,0,0,0,101,71,816,8,132,205.6,167.1
Steven Jackson,16,44,STL,RB,29,16,16,0,0,0,0,0,258,1045,4,53,38,321,0,163,206.6,181.6
Tony Romo,8,45,DAL,QB,32,16,16,425,648,4903,28,19,30,49,1,1,1,-1,0,279,304.9,298.4
Russell Wilson*,9,46,SEA,QB,24,16,16,252,393,3118,26,10,94,489,4,0,0,0,0,278,296.6,287.6
Michael Turner,17,47,ATL,RB,30,16,16,0,0,0,0,0,222,800,10,30,19,128,1,157,182.8,166.3
Jason Witten*,5,48,DAL,TE,30,16,16,0,0,0,0,0,0,0,0,147,110,1039,3,122,234.9,176.9
Andrew Luck*,10,49,IND,QB,23,16,16,339,627,4374,23,18,62,255,5,0,0,0,0,276,305.5,294.5
Ahmad Bradshaw,18,50,NYG,RB,26,14,12,0,0,0,0,0,221,1015,6,31,23,245,0,156,188.0,167.5
Matthew Stafford,11,51,DET,QB,24,16,16,435,727,4967,20,17,35,126,4,1,1,3,0,276,303.6,293.1
Randall Cobb,19,52,GNB,RB,22,15,8,0,0,0,0,0,10,132,0,104,80,954,8,155,247.6,200.6
Steve Smith,18,53,CAR,WR,33,16,16,0,0,0,0,0,3,27,0,137,73,1174,4,142,219.1,178.6
