 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.1,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Jerry Rice*+,1,1,SFO,WR,31,16,16,0,0,0,0,0,3,69,1,153,98,1503,15,253,352.7,299.2
Emmitt Smith*+,1,2,DAL,RB,24,14,13,0,0,0,0,0,283,1486,9,65,57,414,1,250,311.0,274.5
Steve Young*+,1,3,SFO,QB,32,16,16,314,462,4023,29,16,69,407,2,2,2,2,0,298,317.8,306.8
Andre Rison*,2,4,ATL,WR,26,16,16,0,0,0,0,0,0,0,0,165,86,1242,15,214,302.2,255.2
Shannon Sharpe*+,1,5,DEN,TE,25,16,12,0,0,0,0,0,0,0,0,110,81,995,9,154,237.0,193.0
Jerome Bettis*+,2,6,RAM,RB,21,16,12,0,0,0,0,0,294,1429,7,34,26,244,0,209,239.3,218.3
Thurman Thomas*,3,7,BUF,RB,27,16,16,0,1,0,0,0,355,1315,6,71,48,387,0,206,257.2,224.2
Sterling Sharpe*+,3,8,GNB,WR,28,16,16,1,1,1,0,0,4,8,0,189,112,1274,11,194,308.7,249.2
John Elway*,2,9,DEN,QB,33,16,16,348,551,4030,25,10,44,153,0,,0,0,0,257,268.5,258.5
Ricky Watters*,4,10,SFO,RB,24,13,13,0,0,0,0,0,208,950,10,45,31,326,1,194,228.1,204.1
Marcus Allen*,5,11,KAN,RB,33,16,10,0,0,0,0,0,206,764,12,46,34,238,3,190,228.2,203.2
Michael Irvin*,4,12,DAL,WR,27,16,16,0,0,0,0,0,2,6,0,143,88,1330,7,176,266.6,219.6
Eric Green*,2,13,PIT,TE,26,16,16,0,0,0,0,0,0,0,0,113,63,942,5,124,188.7,152.7
Leonard Russell,6,14,NWE,RB,24,16,15,0,0,0,0,0,300,1088,7,37,26,245,0,175,205.3,184.3
Gary Brown,7,15,HOU,RB,24,16,8,0,0,0,0,0,195,1002,6,30,21,240,2,172,197.2,178.7
Ben Coates,3,16,NWE,TE,24,16,10,0,0,0,0,0,0,0,0,93,53,659,8,114,169.9,140.4
Johnny Johnson,8,17,NYJ,RB,25,15,9,0,0,0,0,0,198,821,3,83,67,641,1,170,240.7,198.7
Cris Carter*,5,18,MIN,WR,28,16,16,0,0,0,0,0,0,0,0,143,86,1071,9,161,250.1,204.1
Tim Brown*,6,19,RAI,WR,27,16,16,0,0,0,0,0,2,7,0,127,80,1180,7,161,249.2,205.7
Erric Pegram,9,20,ATL,RB,24,16,14,0,0,0,0,0,292,1185,3,42,33,302,0,167,202.7,177.2
Anthony Miller*,7,21,SDG,WR,28,16,16,0,0,0,0,0,1,0,0,162,84,1162,7,158,245.2,200.2
Terry Kirby,10,22,MIA,RB,23,16,8,0,0,0,0,0,119,390,3,95,75,874,3,162,240.9,194.9
Edgar Bennett,11,23,GNB,RB,24,16,14,0,0,0,0,0,159,550,9,74,59,457,1,161,225.7,190.2
Jeff Hostetler,3,24,RAI,QB,32,15,15,236,419,3242,14,10,55,202,5,1,0,0,0,216,228.9,219.9
Herschel Walker,12,25,PHI,RB,31,16,16,0,0,0,0,0,174,746,1,91,75,610,3,160,239.1,194.1
Chris Warren*,13,26,SEA,RB,25,14,14,0,0,0,0,0,273,1072,7,21,15,99,0,159,175.6,163.6
Rodney Hampton*,14,27,NYG,RB,24,12,10,0,0,0,0,0,292,1077,5,23,18,210,0,159,181.7,165.7
Ronald Moore,15,28,PHO,RB,23,16,11,0,0,0,0,0,263,1018,9,7,3,16,0,157,161.9,155.9
Johnny Mitchell,4,29,NYJ,TE,22,14,14,0,0,0,0,0,0,0,0,73,39,630,6,99,141.0,118.5
Keith Jackson,5,30,MIA,TE,28,15,15,0,0,0,0,0,0,0,0,73,39,613,6,97,138.3,114.8
Barry Sanders*,16,31,DET,RB,25,11,11,0,0,0,0,0,243,1115,3,48,36,205,0,150,190.5,165.0
Brent Jones*,6,32,SFO,TE,30,16,16,0,0,0,0,0,0,0,0,94,68,735,3,92,161.5,123.5
Barry Foster*,17,33,PIT,RB,25,9,9,0,0,0,0,0,177,711,8,34,27,217,1,147,178.3,157.3
Warren Moon*,4,34,HOU,QB,37,15,14,303,520,3485,21,21,48,145,1,,0,0,0,202,222.4,209.9
Reggie Brooks,18,35,WAS,RB,22,16,11,0,0,0,0,0,223,1063,3,35,21,186,0,143,167.9,149.4
Rod Bernstine,19,36,DEN,RB,28,15,14,0,0,0,0,0,223,816,4,61,44,372,0,143,191.3,161.8
Ricky Proehl,8,37,PHO,WR,25,16,16,0,0,0,0,0,8,47,0,108,65,877,7,134,201.9,165.9
Pete Metzelaars,7,38,BUF,TE,33,16,16,0,0,0,0,0,0,0,0,95,68,609,4,85,155.4,117.9
Jackie Harris,8,39,GNB,TE,25,12,12,0,0,0,0,0,0,0,0,73,42,604,4,84,129.4,105.4
Willie Davis,9,40,KAN,WR,26,16,15,0,0,0,0,0,0,0,0,101,52,909,7,133,187.9,158.9
Mark Bavaro,9,41,PHI,TE,30,16,16,0,0,0,0,0,0,0,0,72,43,481,6,84,130.1,105.6
Boomer Esiason*,5,42,NYJ,QB,32,16,16,288,473,3421,16,11,45,118,1,1,1,-8,0,196,207.3,194.3
Calvin Williams,10,43,PHI,WR,26,16,14,0,0,0,0,0,0,0,0,104,60,725,10,133,195.5,162.5
