 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Drew Brees*,8,52,NOR,QB,39,15,15,364,489,3992,32,5,31,22,4,1,1,1,0,304,314.0,309.5
Mike Williams,20,53,LAC,WR,24,16,5,0,0,0,0,0,7,28,1,66,43,664,10,137,183.2,158.7
Kenny Golladay,21,54,DET,WR,25,15,13,0,0,0,0,0,1,8,0,119,70,1063,5,137,210.1,172.1
Jarvis Landry*,22,55,CLE,WR,26,16,14,1,2,63,0,0,3,60,1,149,81,976,4,136,221.1,176.6
Kenyan Drake,21,56,MIA,RB,24,16,7,0,0,0,0,0,120,535,4,73,53,477,5,153,213.2,179.7
Julian Edelman,23,57,NWE,WR,32,12,12,2,2,43,0,0,9,107,0,108,74,850,6,133,213.4,170.4
Russell Wilson*,9,58,SEA,QB,30,16,16,280,427,3448,35,7,67,376,0,1,1,-11,0,298,314.4,305.9
Lamar Miller*,22,59,HOU,RB,27,14,14,0,0,0,0,0,210,973,5,35,25,163,1,148,179.6,160.1
Emmanuel Sanders,24,60,DEN,WR,31,12,12,1,1,28,1,0,4,53,1,98,71,868,4,127,201.2,162.7
Trey Burton,6,61,CHI,TE,27,16,16,0,0,0,0,0,1,2,0,76,54,569,6,93,151.1,120.1
Aaron Jones,23,62,GNB,RB,24,12,8,0,0,0,0,0,133,728,8,35,26,206,1,145,178.4,158.4
Chris Godwin,25,63,TAM,WR,22,16,5,0,0,0,0,0,0,0,0,95,59,842,7,126,189.2,155.7
Austin Hooper*,7,64,ATL,TE,24,16,7,0,0,0,0,0,0,0,0,88,71,660,4,92,166.0,127.5
David Njoku,8,65,CLE,TE,22,16,14,0,0,0,0,0,0,0,0,88,56,639,4,88,146.9,115.9
Kyle Rudolph,9,66,MIN,TE,29,16,16,0,0,0,0,0,0,0,0,82,64,634,4,87,154.4,119.4
Alshon Jeffery,26,67,PHI,WR,28,13,13,0,0,0,0,0,0,0,0,92,65,843,6,120,188.3,152.8
O.J. Howard,10,68,TAM,TE,24,10,8,0,0,0,0,0,0,0,0,48,34,565,5,87,123.5,103.5
Dak Prescott*,10,69,DAL,QB,25,16,16,356,526,3885,22,8,75,305,6,1,0,0,0,286,305.9,293.9
Philip Rivers*,11,70,LAC,QB,37,16,16,347,508,4308,32,12,18,7,0,0,0,0,0,285,301.0,297.0
Corey Davis,27,71,TEN,WR,23,16,16,0,0,0,0,0,6,55,0,112,65,891,4,119,186.6,151.1
Rob Gronkowski,11,72,NWE,TE,29,13,11,0,0,0,0,0,0,0,0,72,47,682,3,84,135.2,107.7
Larry Fitzgerald,28,73,ARI,WR,35,16,16,1,1,32,1,0,0,0,0,112,69,734,6,117,188.7,151.2
Sterling Shepard,29,74,NYG,WR,25,16,16,0,0,0,0,0,3,33,0,107,66,872,4,117,185.5,149.5
Mohamed Sanu,30,75,ATL,WR,29,16,16,1,2,5,1,0,7,44,0,94,66,838,4,116,186.4,149.4
Matt Breida,24,76,SFO,RB,23,14,13,0,0,0,0,0,153,814,3,31,27,261,2,136,169.5,149.0
Shane Smith,1,77,NYG,,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Vance McDonald,12,78,PIT,TE,28,15,14,0,0,0,0,0,0,0,0,72,50,610,4,83,137.0,108.0
Cam Newton,12,,CAR,QB,29,14,14,320,471,3395,24,13,101,488,4,0,0,0,0,283,301.6,295.6
Kirk Cousins,13,,MIN,QB,30,16,16,425,606,4298,30,10,44,123,1,1,1,-1,0,282,306.1,292.6
Tom Brady*,14,,NWE,QB,41,16,16,375,570,4355,29,11,23,35,2,1,1,6,0,280,297.3,291.8
Mitchell Trubisky*,15,,CHI,QB,24,14,14,289,434,3223,24,12,68,421,3,0,0,0,0,263,284.0,275.0
Eli Manning,17,,NYG,QB,37,16,16,380,576,4299,21,11,15,20,1,0,0,0,0,240,258.0,251.0
Baker Mayfield,16,,CLE,QB,23,14,13,310,486,3725,27,14,39,131,0,1,0,0,0,240,263.1,254.1
Derek Carr,18,,OAK,QB,27,16,16,381,553,4049,19,10,24,47,1,1,1,-9,0,216,236.8,226.3
Case Keenum,19,,DEN,QB,30,16,16,365,586,3890,18,15,26,93,2,0,0,0,0,215,234.9,229.9
Matthew Stafford,20,,DET,QB,30,16,16,367,555,3777,21,11,25,71,0,0,0,0,0,212,230.2,223.2
