 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Dontrelle Inman,91,,IND,WR,29,9,4,0,0,0,0,0,0,0,0,39,28,304,3,48,79.4,62.4
Jaron Brown,93,,SEA,WR,28,16,2,0,0,0,0,0,0,0,0,19,14,166,5,47,63.6,53.6
Antonio Gates,27,,LAC,TE,38,16,1,0,0,0,0,0,0,0,0,45,28,333,2,47,79.3,61.3
Kapri Bibbs,73,,2TM,RB,25,12,0,0,0,0,0,0,21,103,3,23,16,115,1,46,67.8,53.8
Justin Jackson,71,,LAC,RB,23,13,1,0,0,0,0,0,50,206,2,19,15,135,0,46,67.1,53.6
Ty Montgomery,94,,2TM,WR,25,13,0,0,0,0,0,0,41,188,1,40,25,235,0,46,78.3,58.8
Breshad Perriman,95,,CLE,WR,25,10,2,0,0,0,0,0,4,2,0,25,16,340,2,46,65.2,54.2
Darren Sproles,72,,PHI,RB,35,6,2,0,0,0,0,0,29,120,1,23,15,160,2,46,67.0,53.5
Jordan Thomas,28,,HOU,TE,22,16,10,0,0,0,0,0,0,0,0,27,20,215,4,46,68.5,55.5
Jacquizz Rodgers,74,,TAM,RB,28,16,0,0,0,0,0,0,33,106,1,45,38,304,0,45,90.0,64.0
Tajae Sharpe,96,,TEN,WR,24,16,13,0,0,0,0,0,1,16,0,47,26,316,2,45,74.2,58.2
Ian Thomas,29,,CAR,TE,22,16,6,0,0,0,0,0,0,0,0,49,36,333,2,45,84.3,63.3
Nick Vannett,30,,SEA,TE,25,15,9,0,0,0,0,0,0,0,0,43,29,269,3,45,76.9,59.4
Kelvin Benjamin,97,,2TM,WR,27,15,10,0,0,0,0,0,0,0,0,67,25,380,1,44,72.0,56.5
Jonnu Smith,31,,TEN,TE,23,13,12,0,0,0,0,0,0,0,0,30,20,258,3,44,66.8,53.8
Jordan Wilkins,75,,IND,RB,24,16,3,0,0,0,0,0,60,336,1,17,16,85,0,44,65.1,52.1
Chase Edmonds,76,,ARI,RB,22,16,0,0,0,0,0,0,60,208,2,23,20,103,0,43,69.1,53.1
Jermaine Kearse,98,,NYJ,WR,28,14,9,0,0,0,0,0,0,0,0,76,37,371,1,43,83.1,61.6
Geronimo Allison,99,,GNB,WR,24,5,4,0,0,0,0,0,0,0,0,30,20,303,2,42,65.3,52.3
Allen Hurns,101,,DAL,WR,27,16,7,0,0,0,0,0,0,0,0,35,20,295,2,42,64.5,51.5
Jordan Matthews,100,,PHI,WR,26,14,3,0,0,0,0,0,0,0,0,28,20,300,2,42,65.0,52.0
Tyler Higbee,32,,LAR,TE,25,16,16,0,0,0,0,0,0,0,0,34,24,292,2,41,68.2,53.2
Tyrod Taylor,41,,CLE,QB,29,4,3,42,85,473,2,2,16,125,1,0,0,0,0,41,49.4,43.4
Jeff Heuerman,34,,DEN,TE,26,11,10,0,0,0,0,0,0,0,0,48,31,281,2,40,74.1,55.6
Zach Pascal,102,,IND,WR,24,16,4,0,0,0,0,0,2,10,0,46,27,268,2,40,69.8,53.3
Ricky Seals-Jones,33,,ARI,TE,23,15,5,0,0,0,0,0,0,0,0,69,34,343,1,40,77.3,57.3
Ryan Grant,103,,IND,WR,28,14,10,0,0,0,0,0,0,0,0,52,35,334,1,39,77.4,56.9
Cody Kessler,42,,JAX,QB,25,5,4,85,131,709,2,2,19,123,0,0,0,0,0,39,49.7,40.7
Paul Richardson,104,,WAS,WR,26,7,4,0,0,0,0,0,2,9,0,35,20,262,2,39,62.1,49.1
Jay Ajayi,77,,PHI,RB,25,4,3,0,0,0,0,0,45,184,3,6,5,20,0,38,47.4,40.9
Kyle Juszczyk*,78,,SFO,RB,27,16,14,0,0,0,0,0,8,30,0,41,30,324,1,37,72.4,52.4
DeVante Parker,107,,MIA,WR,25,11,7,0,0,0,0,0,0,0,0,47,24,309,1,37,63.9,48.9
Tim Patrick,105,,DEN,WR,25,16,4,0,0,0,0,0,3,17,0,41,23,315,1,37,64.2,48.7
Terrelle Pryor,106,,2TM,WR,29,8,1,0,0,0,0,0,1,-1,0,30,16,252,2,37,56.1,45.1
Rex Burkhead,79,,NWE,RB,28,8,4,0,0,0,0,0,57,186,0,20,14,131,1,36,56.7,42.7
Ted Ginn,110,,NOR,WR,33,5,3,0,0,0,0,0,3,26,0,30,17,209,2,36,56.5,44.0
DaeSean Hamilton,108,,DEN,WR,23,14,5,0,0,0,0,0,0,0,0,45,30,243,2,36,69.3,51.3
Laquon Treadwell,109,,MIN,WR,23,15,7,0,0,0,0,0,0,0,0,53,35,302,1,36,74.2,53.7
Keke Coutee,111,,HOU,WR,21,6,2,0,0,0,0,0,3,0,0,41,28,287,1,35,65.7,48.7
Jack Doyle,36,,IND,TE,28,6,6,0,0,0,0,0,0,0,0,33,26,245,2,35,64.5,47.5
Rhett Ellison,35,,NYG,TE,30,14,12,0,0,0,0,0,0,0,0,34,25,272,1,35,63.2,47.7
Pierre Garcon,112,,SFO,WR,32,8,8,0,0,0,0,0,0,0,0,46,24,286,1,35,61.6,46.6
Isaiah McKenzie,113,,2TM,WR,23,8,1,0,0,0,0,0,10,66,2,30,18,179,0,35,56.5,43.5
Malcolm Brown,80,,LAR,RB,25,12,0,0,0,0,0,0,43,212,0,7,5,52,1,34,42.4,36.9
Demetrius Harris,37,,KAN,TE,27,15,3,0,0,0,0,0,0,0,0,25,12,164,3,34,49.4,40.4
Ed Dickson,38,,SEA,TE,31,10,1,0,0,0,0,0,1,9,0,13,12,143,3,33,48.2,39.2
Blaine Gabbert,43,,TEN,QB,29,8,3,61,101,626,4,4,6,0,0,0,0,0,0,33,40.0,37.0
Keith Kirkwood,117,,NOR,WR,25,8,1,0,0,0,0,0,0,0,0,21,13,209,2,33,48.9,39.4
Raheem Mostert,81,,SFO,RB,26,9,0,0,0,0,0,0,34,261,1,7,6,25,0,33,42.6,35.6
Torrey Smith,116,,CAR,WR,29,11,6,0,0,0,0,0,0,0,0,31,17,190,2,33,53.0,41.5
Equanimeous St. Brown,115,,GNB,WR,22,12,7,0,0,0,0,0,1,5,0,36,21,328,0,33,57.3,43.8
Ryan Switzer,114,,PIT,WR,24,16,1,0,0,0,0,0,6,21,0,44,36,253,1,33,72.4,51.4
Tavon Austin,118,,DAL,WR,28,7,0,0,0,0,0,0,6,55,0,13,8,140,2,32,42.5,35.5
Trenton Cannon,83,,NYJ,RB,24,16,0,0,0,0,0,0,38,113,1,25,17,144,0,32,54.7,40.2
Levine Toilolo,39,,DET,TE,27,16,10,0,0,0,0,0,0,0,0,24,21,263,1,32,56.3,42.8
Jeff Wilson,82,,SFO,RB,23,6,2,0,0,0,0,0,66,266,0,15,12,98,0,32,49.4,38.4
James Develin,84,,NWE,RB,30,16,8,0,0,0,0,0,6,8,4,17,12,61,0,31,42.9,36.9
Wayne Gallman,85,,NYG,RB,24,15,2,0,0,0,0,0,51,176,1,22,14,89,0,31,48.5,37.5
Ryan Griffin,41,,HOU,TE,28,14,11,0,0,0,0,0,0,0,0,43,24,305,0,31,57.5,42.5
Maurice Harris,119,,WAS,WR,26,12,7,0,0,0,0,0,2,10,0,47,28,304,0,31,62.4,45.4
Taysom Hill,44,,NOR,QB,28,16,4,3,7,64,0,1,37,196,2,7,3,4,0,31,38.6,33.1
T.J. Jones,120,,DET,WR,26,15,3,0,0,0,0,0,0,0,0,26,19,190,2,31,53.0,40.5
Matt LaCosse,40,,DEN,TE,26,15,5,0,0,0,0,0,0,0,0,37,24,250,1,31,58.0,43.0
Russell Shepard,121,,NYG,WR,28,12,0,0,0,0,0,0,0,0,0,19,10,188,2,31,43.8,35.8
Chase Daniel,45,,CHI,QB,32,5,2,53,76,515,3,2,13,3,0,1,1,8,0,30,35.7,32.2
Darren Fells,43,,CLE,TE,32,16,11,0,0,0,0,0,0,0,0,12,11,117,3,30,43.7,35.2
Geoff Swaim,42,,DAL,TE,25,9,9,0,0,0,0,0,0,0,0,32,26,242,1,30,59.2,43.2
Trent Taylor,122,,SFO,WR,24,14,0,0,0,0,0,0,0,0,0,41,26,215,1,30,58.5,42.5
Kalen Ballage,86,,MIA,RB,23,12,0,0,0,0,0,0,36,191,1,11,9,56,0,29,41.7,33.2
Travis Benjamin,123,,LAC,WR,29,12,3,0,0,0,0,0,7,41,0,24,12,186,1,29,43.7,34.7
Bruce Ellington,124,,2TM,WR,27,7,3,0,1,0,0,0,1,2,0,42,31,224,1,29,62.6,44.1
Anthony Firkser,45,,TEN,TE,23,12,0,0,0,0,0,0,0,0,0,20,19,225,1,29,50.5,38.0
Luke Stocker,44,,TEN,TE,30,16,11,0,0,0,0,0,1,0,0,21,15,165,2,29,46.5,36.0
Jason Croom,47,,BUF,TE,24,15,3,0,0,0,0,0,0,0,0,35,22,259,1,28,60.9,44.9
Will Dissly,48,,SEA,TE,22,4,4,0,0,0,0,0,0,0,0,14,8,156,2,28,38.6,31.6
Marcus Murphy,87,,BUF,RB,27,11,1,0,0,0,0,0,52,250,0,19,11,26,0,28,41.6,33.1
Michael Roberts,46,,DET,TE,24,8,2,0,0,0,0,0,0,0,0,20,9,100,3,28,40.0,32.5
James Washington,125,,PIT,WR,22,14,6,0,0,0,0,0,0,0,0,38,16,217,1,28,46.7,35.7
Kyle Allen,47,,CAR,QB,22,2,1,20,31,266,2,0,5,19,1,0,0,0,0,27,26.5,26.5
Martavis Bryant,128,,OAK,WR,27,8,2,0,0,0,0,0,3,23,0,27,19,266,0,27,49.9,36.4
Virgil Green,49,,LAC,TE,30,16,16,0,0,0,0,0,0,0,0,27,19,210,1,27,49.0,36.5
Colt McCoy,46,,WAS,QB,32,3,2,34,54,372,3,3,10,63,0,0,0,0,0,27,33.2,30.2
Chris Moore,126,,BAL,WR,25,16,0,0,0,0,0,0,5,17,0,25,19,196,1,27,49.3,36.8
Trent Sherfield,127,,ARI,WR,22,13,2,0,0,0,0,0,0,0,0,28,19,210,1,27,49.0,36.5
Erik Swoope,50,,IND,TE,26,7,2,0,0,0,0,0,0,0,0,10,8,87,3,27,34.7,30.7
Brandon Bolden,88,,MIA,RB,28,16,0,0,0,0,0,0,8,91,2,3,3,13,1,26,30.4,27.9
Bennie Fowler,130,,NYG,WR,27,10,5,0,0,0,0,0,0,0,0,27,16,199,1,26,44.9,33.9
Brandon LaFell,131,,OAK,WR,32,6,5,0,0,0,0,0,0,0,0,16,12,135,2,26,40.5,31.5
Andre Roberts*+,129,,NYJ,WR,30,16,1,0,0,0,0,0,2,20,0,17,10,79,1,26,36.9,30.9
Mo Alie-Cox,51,,IND,TE,25,9,1,0,0,0,0,0,0,0,0,13,7,133,2,25,35.3,28.8
Justin Hardy,132,,ATL,WR,27,16,0,0,0,0,0,0,0,0,0,22,14,133,2,25,42.3,32.3
Josh Hill,53,,NOR,TE,28,16,11,0,0,0,0,0,0,0,0,24,16,185,1,25,43.5,32.5
Cody Latimer,133,,NYG,WR,26,6,2,0,0,0,0,0,0,0,0,16,11,190,1,25,39.0,30.5
Lee Smith,52,,OAK,TE,31,16,4,0,0,0,0,0,0,0,0,11,10,73,3,25,35.3,30.3
Rod Smith,89,,DAL,RB,26,16,1,0,0,0,0,0,44,127,1,12,9,60,0,25,36.7,29.2
Cody Core,135,,CIN,WR,24,14,3,0,0,0,0,0,0,0,0,28,13,160,1,24,40.0,30.5
Tyler Eifert,54,,CIN,TE,28,4,2,0,0,0,0,0,0,0,0,19,15,179,1,24,41.9,31.4
Chad Williams,134,,ARI,WR,24,10,7,0,0,0,0,0,1,9,0,46,17,171,1,24,44.0,32.5
Jordan Akins,56,,HOU,TE,26,16,6,0,0,0,0,0,0,0,0,25,17,225,0,23,42.5,31.0
Richie James,136,,SFO,WR,23,13,2,0,0,0,0,0,0,0,0,14,9,130,1,23,36.0,27.5
Lance Kendricks,55,,GNB,TE,30,16,3,0,0,0,0,0,0,0,0,25,19,170,1,23,45.0,32.5
Austin Carr,137,,NOR,WR,25,14,2,0,0,0,0,0,0,0,0,14,9,97,2,22,30.7,26.2
Hayden Hurst,57,,BAL,TE,25,12,0,0,0,0,0,0,1,0,0,23,13,163,1,22,38.3,28.8
Dan Arnold,61,,NOR,TE,23,10,1,0,0,0,0,0,0,0,0,19,12,150,1,21,36.0,27.0
Marcell Ateman,138,,OAK,WR,24,7,6,0,0,0,0,0,0,0,0,31,15,154,1,21,39.4,28.9
Nick Boyle,59,,BAL,TE,25,16,13,0,0,0,0,0,0,0,0,37,23,213,0,21,47.3,32.8
Garrett Celek,62,,SFO,TE,30,15,1,0,0,0,0,0,0,0,0,8,5,90,2,21,26.0,23.5
Marvin Hall,139,,ATL,WR,25,16,0,0,0,0,0,0,2,0,0,19,10,149,1,21,33.9,25.9
Josh McCown,48,,NYJ,QB,39,4,3,60,110,539,1,4,5,32,0,0,0,0,0,21,27.8,24.8
James O'Shaughnessy,58,,JAX,TE,26,14,9,0,0,0,0,0,0,0,0,38,24,214,0,21,48.4,33.4
Maxx Williams,60,,BAL,TE,24,13,6,0,0,0,0,0,3,8,0,17,16,143,1,21,40.1,29.1
Josh Bellamy,141,,CHI,WR,29,16,2,0,0,0,0,0,0,0,0,25,14,117,1,20,36.7,26.7
DeAndre Carter,140,,2TM,WR,25,14,4,0,0,0,0,0,1,7,0,25,22,216,0,20,46.3,31.3
Brandon Marshall,142,,SEA,WR,34,7,2,0,0,0,0,0,0,0,0,23,11,136,1,20,33.6,25.1
Michael Floyd,143,,WAS,WR,29,13,3,0,0,0,0,0,0,0,0,24,10,100,1,18,31.0,23.0
Mike Gesicki,63,,MIA,TE,23,16,7,0,0,0,0,0,0,0,0,32,22,202,0,18,44.2,29.2
Andy Janovich,90,,DEN,RB,25,16,7,0,0,0,0,0,2,5,0,10,8,112,1,18,28.7,21.7
Zach Line,91,,NOR,RB,28,16,6,0,0,0,0,0,9,41,0,10,5,14,2,18,22.5,20.0
Matt Barkley,49,,BUF,QB,28,1,1,15,25,232,2,0,3,-2,0,0,0,0,0,17,17.1,17.1
Leonte Carroo,146,,MIA,WR,24,9,0,0,0,0,0,0,1,14,0,4,2,94,1,17,18.8,17.8
Alex Erickson,145,,CIN,WR,26,16,6,0,0,0,0,0,3,22,0,29,20,167,0,17,40.9,26.9
Darius Jennings,144,,TEN,WR,26,16,0,1,1,21,0,0,1,2,0,15,11,101,0,17,31.1,22.6
Jordan Leggett,64,,NYJ,TE,23,15,4,0,0,0,0,0,0,0,0,24,14,114,1,17,34.4,24.4
Charles Clay,65,,BUF,TE,29,13,12,0,0,0,0,0,0,0,0,36,21,184,0,16,41.4,26.9
Andre Holmes,148,,2TM,WR,30,15,3,0,0,0,0,0,0,0,0,24,13,162,0,16,32.2,22.7
Marcus Johnson,150,,IND,WR,24,5,0,0,0,0,0,0,1,-2,0,8,6,102,1,16,25.0,19.0
Jake Kumerow,147,,GNB,WR,26,5,2,0,0,0,0,0,0,0,0,11,8,103,1,16,27.3,20.3
MyCole Pruitt,66,,TEN,TE,26,15,1,0,0,0,0,0,0,0,0,11,9,102,1,16,28.2,20.7
Anthony Sherman*,92,,KAN,RB,30,16,1,0,0,0,0,0,1,2,0,9,8,96,1,16,23.8,19.8
Deonte Thompson,149,,2TM,WR,29,13,6,0,0,0,0,0,0,0,0,30,17,161,0,16,36.1,24.6
DJ Chark,152,,JAX,WR,22,11,0,0,0,0,0,0,0,0,0,32,14,174,0,15,33.4,22.4
Brian Hill,95,,ATL,RB,23,10,0,0,0,0,0,0,20,157,0,2,1,9,0,15,19.6,15.1
Cameron Meredith,151,,NOR,WR,26,6,1,0,0,0,0,0,0,0,0,10,9,114,1,15,28.4,19.9
Taquan Mizzell,94,,CHI,RB,25,9,1,0,0,0,0,0,9,16,0,10,8,78,1,15,23.4,19.4
Nick O'Leary,70,,MIA,TE,26,12,7,0,0,0,0,0,0,0,0,10,8,86,1,15,22.6,18.6
Logan Paulsen,67,,ATL,TE,31,15,10,0,0,0,0,0,0,0,0,9,9,91,1,15,24.1,19.6
Austin Seferian-Jenkins,68,,JAX,TE,26,5,5,0,0,0,0,0,0,0,0,19,11,90,1,15,26.0,20.5
Scott Simonson,69,,NYG,TE,26,16,4,0,0,0,0,0,0,0,0,14,9,86,1,15,23.6,19.1
Vyncint Smith,153,,HOU,WR,22,7,1,0,0,0,0,0,0,0,0,10,5,91,1,15,20.1,17.6
Dwayne Washington,93,,NOR,RB,24,13,0,0,0,0,0,0,27,154,0,0,0,0,0,15,18.4,15.4
Alex Armah,97,,CAR,RB,24,16,2,0,0,0,0,0,9,15,2,1,1,5,0,14,15.0,14.5
Cameron Artis-Payne,96,,CAR,RB,28,9,0,0,0,0,0,0,19,69,1,4,3,15,0,14,17.4,15.9
Deontay Burnett,155,,NYJ,WR,21,5,1,0,0,0,0,0,0,0,0,15,10,143,0,14,27.3,19.3
Taylor Heinicke,50,,CAR,QB,25,6,1,35,57,320,1,3,5,31,0,0,0,0,0,14,19.9,16.9
Andy Jones,156,,DET,WR,24,8,3,0,0,0,0,0,0,0,0,24,11,80,1,14,25.0,19.5
Ronald Jones,98,,TAM,RB,21,9,0,0,0,0,0,0,23,44,1,9,7,33,0,14,20.7,17.2
Trey Quinn,157,,WAS,WR,23,3,2,0,0,0,0,0,1,0,0,10,9,75,1,14,22.5,18.0
Damion Ratley,154,,CLE,WR,23,13,3,0,0,0,0,0,0,0,0,20,13,144,0,14,30.4,20.9
Robert Tonyan,71,,GNB,TE,24,16,1,0,0,0,0,0,0,0,0,6,4,77,1,14,17.7,15.7
Sam Bradford,52,,ARI,QB,31,3,3,50,80,400,2,4,2,7,0,0,0,0,0,13,21.7,16.7
Derek Carrier,74,,OAK,TE,28,16,2,0,0,0,0,0,0,0,0,12,7,67,1,13,19.7,16.2
Seth Devalve,72,,CLE,TE,25,13,4,0,0,0,0,0,0,0,0,7,5,74,1,13,18.4,15.9
Nathan Peterman,51,,BUF,QB,24,4,2,44,81,296,1,7,10,50,1,0,0,0,0,13,19.8,19.8
Brandon Powell,158,,DET,WR,22,6,1,0,0,0,0,0,1,4,0,17,11,129,0,13,27.3,18.8
Adam Shaheen,73,,CHI,TE,24,6,4,0,0,0,0,0,0,0,0,6,5,48,1,13,17.8,15.3
Darrel Williams,99,,KAN,RB,23,6,0,0,0,0,0,0,13,44,0,3,3,27,1,13,16.1,14.6
Brice Butler,159,,2TM,WR,28,8,1,0,0,0,0,0,0,0,0,10,6,60,1,12,18.0,15.0
Stevan Ridley,100,,PIT,RB,29,10,0,0,0,0,0,0,29,80,1,4,3,18,0,12,16.8,13.3
Dalton Schultz,75,,DAL,TE,22,11,7,0,0,0,0,0,0,0,0,17,12,116,0,12,26.6,17.6
A.J. Derby,77,,MIA,TE,27,4,0,0,0,0,0,0,0,0,0,5,3,48,1,11,13.8,12.3
Mike Glennon,53,,ARI,QB,29,2,0,15,21,174,1,0,0,0,0,0,0,0,0,11,11.0,11.0
Corey Grant,101,,JAX,RB,27,5,1,0,0,0,0,0,13,40,0,12,9,67,0,11,19.7,15.2
Dwayne Harris,160,,OAK,WR,31,15,1,0,0,0,0,0,2,12,0,6,6,40,0,11,17.2,14.2
Tommylee Lewis,161,,NOR,WR,26,7,3,0,0,0,0,0,2,10,0,3,3,60,1,11,15.0,12.5
Chris Manhertz,76,,CAR,TE,26,16,4,0,0,0,0,0,0,0,0,5,2,52,1,11,13.2,12.2
Keith Ford,104,,BUF,RB,24,2,1,0,0,0,0,0,21,79,0,5,3,21,0,10,13.0,11.5
John Kelly,103,,LAR,RB,22,4,0,0,0,0,0,0,27,74,0,3,2,27,0,10,12.1,11.1
Niles Paul,80,,JAX,TE,29,6,1,0,0,0,0,0,1,-3,0,13,10,98,0,10,19.5,14.5
Eli Rogers,162,,PIT,WR,26,3,3,0,0,0,0,0,1,-4,0,14,12,79,0,10,21.5,15.5
Jeremy Sprinkle,78,,WAS,TE,24,16,9,0,0,0,0,0,0,0,0,9,5,41,1,10,15.1,12.6
De'Anthony Thomas,163,,KAN,WR,25,5,0,0,0,0,0,0,1,6,0,5,3,29,1,10,12.5,11.0
Darren Waller,79,,OAK,TE,26,4,0,0,0,0,0,0,1,21,0,6,6,75,0,10,15.6,12.6
DeAndre Washington,102,,OAK,RB,25,10,0,0,0,0,0,0,30,115,0,1,1,9,0,10,15.4,10.9
Charcandrick West,105,,KAN,RB,27,3,0,0,0,0,0,0,2,-1,0,3,2,37,1,10,11.6,10.6
Jake Butt,82,,DEN,TE,23,3,3,0,0,0,0,0,0,0,0,13,8,85,0,9,16.5,12.5
D'Onta Foreman,108,,HOU,RB,22,1,0,0,0,0,0,0,7,-1,0,2,2,28,1,9,10.7,9.7
Devonta Freeman,107,,ATL,RB,26,2,2,0,0,0,0,0,14,68,0,7,5,23,0,9,14.1,11.6
C.J. Ham,106,,MIN,RB,25,15,2,0,0,0,0,0,6,8,0,15,11,85,0,9,20.3,14.8
Dontrell Hilliard,109,,CLE,RB,23,11,0,0,1,0,0,1,0,0,0,10,9,105,0,9,21.5,14.0
Kevin White,164,,CHI,WR,26,9,0,0,0,0,0,0,0,0,0,8,4,92,0,9,13.2,11.2
Luke Willson,81,,DET,TE,28,14,8,0,0,0,0,0,0,0,0,19,13,87,0,9,21.7,15.2
Cameron Batson,165,,TEN,WR,23,11,2,0,0,0,0,0,1,1,0,11,8,82,0,8,16.3,12.3
Corey Coleman,166,,NYG,WR,24,8,1,0,0,0,0,0,1,5,0,8,5,71,0,8,12.6,10.1
Tyler Conklin,84,,MIN,TE,23,16,3,0,0,0,0,0,0,0,0,7,5,77,0,8,12.7,10.2
Matt Lengel,85,,CIN,TE,28,11,2,0,0,0,0,0,0,0,0,8,3,17,1,8,10.7,9.2
Elijhaa Penny,110,,NYG,RB,25,14,3,0,0,0,0,0,7,25,0,9,8,50,0,8,15.5,11.5
Logan Thomas,83,,BUF,TE,27,12,3,1,1,15,0,0,0,0,0,17,12,77,0,8,20.3,14.3
Mark Walton,111,,CIN,RB,21,14,0,0,0,0,0,0,14,34,0,8,5,41,0,8,12.5,10.0
Derek Anderson,55,,BUF,QB,35,2,2,42,70,465,0,4,1,-1,0,0,0,0,0,7,15.5,10.5
Kenjon Barner,112,,2TM,RB,28,9,0,0,0,0,0,0,19,71,0,1,1,3,0,7,8.4,7.9
Blake Bell,88,,JAX,TE,27,10,4,0,0,0,0,0,0,0,0,11,8,67,0,7,14.7,10.7
Teddy Bridgewater,54,,NOR,QB,26,5,1,14,23,118,1,1,11,5,0,0,0,0,0,7,8.2,8.2
Patrick DiMarco,113,,BUF,RB,29,16,5,0,0,0,0,0,1,9,0,4,3,62,0,7,10.1,8.6
Jermaine Gresham,86,,ARI,TE,30,13,11,0,0,0,0,0,0,0,0,12,9,94,0,7,17.4,11.9
Xavier Grimble,90,,PIT,TE,26,16,2,0,0,0,0,0,0,0,0,8,6,86,0,7,13.6,9.6
Detrez Newsome,114,,LAC,RB,24,9,0,0,0,0,0,0,11,49,0,2,2,19,0,7,8.8,7.8
Joshua Perkins,89,,PHI,TE,25,9,1,0,0,0,0,0,0,0,0,11,5,67,0,7,11.7,9.2
Eric Tomlinson,87,,NYJ,TE,26,15,12,0,0,0,0,0,0,0,0,14,8,72,0,7,15.2,11.2
Russell Gage,168,,ATL,WR,22,15,0,0,0,0,0,0,0,0,0,10,6,63,0,6,12.3,9.3
David Grinnage,92,,JAX,TE,24,4,2,0,0,0,0,0,0,0,0,8,6,61,0,6,12.1,9.1
Ryan Hewitt,91,,IND,TE,27,12,2,0,0,0,0,0,0,0,0,2,1,1,1,6,7.1,6.6
JJ Nelson,167,,ARI,WR,26,14,2,0,0,0,0,0,4,0,0,19,7,64,0,6,13.4,9.9
Bradley Sowell,115,,CHI,RB,29,16,1,0,0,0,0,0,0,0,0,2,1,2,1,6,7.2,6.7
Derrick Willies,169,,CLE,WR,24,5,0,0,0,0,0,0,0,0,0,5,3,61,0,6,9.1,7.6
Kamar Aiken,171,,PHI,WR,29,5,1,0,0,0,0,0,0,0,0,7,6,53,0,5,11.3,8.3
Antony Auclair,96,,TAM,TE,25,16,10,0,0,0,0,0,0,0,0,8,7,48,0,5,11.8,8.3
Mike Boone,117,,MIN,RB,23,8,0,0,0,0,0,0,11,47,0,3,2,1,0,5,6.8,5.8
Noah Brown,170,,DAL,WR,22,8,2,0,0,0,0,0,0,0,0,8,5,54,0,5,10.4,7.9
Rico Gathers,99,,DAL,TE,24,15,4,0,0,0,0,0,0,0,0,7,3,45,0,5,7.5,6.0
Shelton Gibson,173,,PHI,WR,23,15,0,0,0,0,0,0,0,0,0,3,1,48,0,5,5.8,5.3
Jacob Hollister,94,,NWE,TE,25,8,1,0,0,0,0,0,0,0,0,5,4,52,0,5,9.2,7.2
DeShone Kizer,56,,GNB,QB,22,3,0,20,42,187,0,2,5,39,0,0,0,0,0,5,8.4,7.4
Eric Saubert,97,,ATL,TE,24,16,1,0,0,0,0,0,0,0,0,9,5,48,0,5,9.8,7.3
Durham Smythe,95,,MIA,TE,23,15,2,0,0,0,0,0,0,0,0,11,6,50,0,5,11.0,8.0
Neal Sterling,98,,NYJ,TE,26,5,4,0,0,0,0,0,0,0,0,8,6,47,0,5,10.7,7.7
Nate Sudfeld,57,,PHI,QB,25,2,0,1,2,22,1,0,2,-2,0,0,0,0,0,5,4.7,4.7
Roc Thomas,116,,MIN,RB,23,5,0,0,0,0,0,0,8,30,0,4,2,21,0,5,7.1,6.1
Delanie Walker,93,,TEN,TE,34,1,1,0,0,0,0,0,0,0,0,7,4,52,0,5,9.2,7.2
Bobo Wilson,172,,TAM,WR,23,5,0,0,0,0,0,0,0,0,0,5,4,52,0,5,9.2,7.2
Chad Beebe,176,,MIN,WR,24,3,0,0,0,0,0,0,0,0,0,4,4,39,0,4,7.9,5.9
Tommy Bohanon,119,,JAX,RB,28,16,6,0,0,0,0,0,1,0,0,9,6,41,0,4,10.1,7.1
Ben Braunecker,100,,CHI,TE,24,15,2,0,0,0,0,0,0,0,0,5,3,42,0,4,7.2,5.7
Jawill Davis,174,,NYG,WR,23,7,0,0,0,0,0,0,0,0,0,8,4,40,0,4,8.0,6.0
Tyler Ervin,125,,HOU,RB,25,9,0,0,0,0,0,0,0,0,0,3,3,35,0,4,6.5,5.0
Jordan Franks,103,,CIN,TE,22,6,0,0,0,0,0,0,0,0,0,3,2,37,0,4,5.7,4.7
Rashad Greene,175,,JAX,WR,26,8,1,0,0,0,0,0,0,0,0,8,6,60,0,4,11.0,7.0
Tyler Kroft,104,,CIN,TE,26,5,2,0,0,0,0,0,0,0,0,6,4,36,0,4,7.6,5.6
Marcedes Lewis,101,,GNB,TE,34,16,4,0,0,0,0,0,0,0,0,4,3,39,0,4,6.9,5.4
T.J. Logan,120,,ARI,RB,24,10,0,0,0,0,0,0,2,2,0,7,7,37,0,4,10.9,7.4
Tre Madden,122,,SEA,RB,25,14,3,0,0,0,0,0,3,3,0,3,2,35,0,4,5.8,4.8
Byron Marshall,121,,WAS,RB,24,6,0,0,0,0,0,0,3,9,0,6,4,30,0,4,7.9,5.9
David Morgan,105,,MIN,TE,25,11,6,0,0,0,0,0,0,0,0,6,5,36,0,4,8.6,6.1
Roosevelt Nix,118,,PIT,RB,26,16,0,0,0,0,0,0,1,4,0,6,4,38,0,4,8.2,6.2
Samaje Perine,123,,WAS,RB,23,5,0,0,0,0,0,0,8,32,0,4,3,5,0,4,6.7,5.2
John Phillips,102,,ARI,TE,31,8,4,0,0,0,0,0,0,0,0,3,3,38,0,4,6.8,5.3
Auden Tate,178,,CIN,WR,21,7,0,0,0,0,0,0,0,0,0,12,4,35,0,4,7.5,5.5
Jalen Tolliver,177,,ARI,WR,23,3,1,0,0,0,0,0,0,0,0,6,3,37,0,4,6.7,5.2
