 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-1.4,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
LaDainian Tomlinson*+,1,1,SDG,RB,27,16,16,2,3,20,2,0,348,1815,28,80,56,508,3,427,488.1,453.1
Larry Johnson*+,2,2,KAN,RB,27,16,16,0,1,0,0,0,416,1789,17,66,41,410,2,334,379.9,352.4
Steven Jackson*,3,3,STL,RB,23,16,16,0,0,0,0,0,346,1528,13,110,90,806,3,329,423.4,370.4
Peyton Manning*,1,4,IND,QB,30,16,16,362,557,4397,31,9,23,36,4,0,0,0,0,313,324.5,320.5
Frank Gore*,4,5,SFO,RB,23,16,16,0,0,0,0,0,312,1695,8,86,61,485,1,272,336.0,296.5
Willie Parker*,5,6,PIT,RB,26,16,16,0,0,0,0,0,337,1494,13,42,31,222,3,268,301.1,276.1
Brian Westbrook,6,7,PHI,RB,27,15,14,0,0,0,0,0,240,1217,7,105,77,699,4,258,339.6,294.1
Marvin Harrison*+,1,8,IND,WR,34,16,16,0,0,0,0,0,0,0,0,148,95,1366,12,211,306.1,255.1
Tiki Barber*,7,9,NYG,RB,31,16,16,0,0,0,0,0,327,1662,5,75,58,465,0,243,305.2,268.7
Terrell Owens,2,10,DAL,WR,33,16,15,0,0,0,0,0,0,0,0,150,85,1180,13,198,286.0,240.5
Michael Vick,2,11,ATL,QB,26,16,16,204,388,2474,20,13,123,1039,2,1,1,1,0,269,284.5,273.5
Drew Brees*+,3,12,NOR,QB,27,16,16,356,554,4418,26,11,42,32,0,0,0,0,0,266,275.9,268.9
Reggie Wayne*,3,13,IND,WR,28,16,16,0,0,0,0,0,0,0,0,137,86,1310,9,187,275.5,229.0
Maurice Jones-Drew,8,14,JAX,RB,21,16,1,0,0,0,0,0,166,941,13,62,46,436,2,228,285.2,255.7
Marc Bulger*,4,15,STL,QB,29,16,16,370,588,4301,24,8,18,44,0,0,0,0,0,258,266.4,260.4
Antonio Gates*+,1,16,SDG,TE,26,16,16,0,0,0,0,0,0,0,0,120,71,924,9,146,220.4,181.9
Chad Johnson*+,4,17,CIN,WR,28,16,16,0,0,0,0,0,6,24,0,152,87,1369,7,181,270.8,223.8
Donald Driver*,5,18,GNB,WR,31,16,16,0,0,0,0,0,7,16,0,173,92,1295,8,179,273.6,224.1
Torry Holt*,6,19,STL,WR,30,16,16,0,0,0,0,0,0,0,0,179,93,1188,10,179,273.8,223.3
