 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.2,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Marshall Faulk*+,1,1,STL,RB,27,14,14,0,0,0,0,0,253,1359,18,113,81,830,8,381,465.9,419.4
Edgerrin James*,2,2,IND,RB,22,16,16,0,0,0,0,0,387,1709,13,87,63,594,5,340,406.8,366.8
Daunte Culpepper*,1,3,MIN,QB,23,16,16,297,474,3937,33,16,89,470,7,0,0,0,0,350,367.0,355.5
Jeff Garcia*,2,4,SFO,QB,30,16,16,355,561,4278,31,10,72,414,4,0,0,0,0,343,355.0,345.5
Eddie George*+,3,5,TEN,RB,27,16,16,0,0,0,0,0,403,1509,14,65,50,453,2,292,345.7,312.2
Randy Moss*+,1,6,MIN,WR,23,16,16,0,0,0,0,0,3,5,0,129,77,1437,15,236,315.2,272.7
Tony Gonzalez*+,1,7,KAN,TE,24,16,16,0,0,0,0,0,0,0,0,150,93,1203,9,174,270.3,220.8
Terrell Owens*+,2,8,SFO,WR,27,14,13,0,0,0,0,0,3,11,0,146,97,1451,13,226,324.7,271.7
Marvin Harrison*,3,9,IND,WR,28,16,16,0,0,0,0,0,0,0,0,169,102,1413,14,225,329.3,274.3
Rod Smith*,4,10,DEN,WR,30,16,16,0,0,0,0,0,6,99,1,173,100,1602,8,224,326.6,273.1
Mike Anderson,4,11,DEN,RB,27,16,12,0,0,0,0,0,297,1487,15,32,23,169,0,258,284.6,265.1
Rich Gannon*+,3,12,OAK,QB,35,16,16,284,473,3430,28,11,89,529,4,0,0,0,0,306,318.6,308.1
Ahman Green,5,13,GNB,RB,23,16,11,0,1,0,0,0,263,1175,10,99,73,559,3,251,327.4,281.9
Peyton Manning*,4,14,IND,QB,24,16,16,357,571,4413,33,15,37,116,1,0,0,0,0,300,318.6,310.1
Fred Taylor,6,15,JAX,RB,24,13,13,0,0,0,0,0,292,1399,12,53,36,240,2,248,287.9,261.9
Robert Smith*,7,16,MIN,RB,28,16,16,0,0,0,0,0,295,1521,7,44,36,348,3,247,286.9,260.9
Jamal Lewis,5,17,BAL,WR,21,16,13,0,0,0,0,0,309,1364,6,36,27,296,0,204,234.0,211.5
Derrick Alexander,6,18,KAN,WR,29,16,16,0,0,0,0,0,3,45,0,144,78,1391,10,204,284.6,242.6
Donovan McNabb*,5,19,PHI,QB,24,16,16,330,569,3365,21,13,86,629,6,4,2,5,0,294,311.5,301.0
Isaac Bruce*,7,20,STL,WR,28,16,16,0,0,0,0,0,1,11,0,135,87,1471,9,202,291.7,244.7
Curtis Martin,8,21,NYJ,RB,27,16,16,1,1,18,1,0,316,1204,9,96,70,508,2,242,316.9,274.9
Torry Holt*,8,22,STL,WR,24,16,15,0,0,0,0,0,2,7,0,139,82,1635,6,200,284.2,239.2
Ricky Watters,9,23,SEA,RB,31,16,16,0,0,0,0,0,278,1242,7,92,63,613,2,240,306.0,266.0
Charlie Garner*,10,24,SFO,RB,28,16,15,0,0,0,0,0,258,1142,7,94,68,647,3,239,310.9,268.9
Lamar Smith,11,25,MIA,RB,30,15,15,0,1,0,0,0,309,1139,14,38,31,201,2,230,265.5,242.5
Ed McCaffrey,9,26,DEN,WR,32,16,16,0,0,0,0,0,0,0,0,149,101,1317,9,188,291.7,238.2
