 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-1.0,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Emmitt Smith*+,1,1,DAL,RB,25,15,15,0,0,0,0,0,368,1484,21,61,50,341,1,315,370.0,338.5
Steve Young*+,1,2,SFO,QB,33,16,16,324,461,3969,35,10,58,293,7,0,0,0,0,354,368.1,360.1
Jerry Rice*+,1,3,SFO,WR,32,16,16,0,0,0,0,0,7,93,2,151,112,1499,13,251,365.7,306.2
Barry Sanders*+,2,4,DET,RB,26,16,16,0,0,0,0,0,331,1883,7,65,44,283,1,265,314.6,286.6
Chris Warren*,3,5,SEA,RB,26,16,15,0,0,0,0,0,333,1545,9,61,41,323,2,255,299.3,270.3
Marshall Faulk*,4,6,IND,RB,21,16,16,0,0,0,0,0,314,1282,11,74,52,522,1,252,307.9,273.4
Brett Favre,2,7,GNB,QB,25,16,16,363,582,3882,33,14,42,202,2,0,0,0,0,293,310.0,300.5
Sterling Sharpe*,2,8,GNB,WR,29,16,16,0,0,0,0,0,3,15,0,159,94,1119,18,221,317.9,267.4
Ben Coates*+,1,9,NWE,TE,25,16,16,0,0,0,0,0,1,0,0,148,96,1174,7,159,257.4,205.4
Natrone Means*,5,10,SDG,RB,22,16,16,0,1,0,0,0,343,1350,12,43,39,235,0,231,273.0,245.0
Ricky Watters*,6,11,SFO,RB,25,16,16,0,0,0,0,0,239,877,6,88,66,719,5,226,293.6,250.6
Dan Marino*,3,12,MIA,QB,33,16,16,385,615,4453,30,17,22,-6,1,0,0,0,0,276,291.0,283.5
Terance Mathis*,3,13,ATL,WR,27,16,16,0,0,0,0,0,0,0,0,151,111,1342,11,204,318.2,259.7
Andre Reed*,4,14,BUF,WR,30,16,16,1,1,32,0,0,10,87,0,143,90,1303,8,188,279.8,230.3
Shannon Sharpe*,2,15,DEN,TE,26,15,13,0,0,0,0,0,0,0,0,140,87,1010,4,129,218.5,171.5
Tim Brown*,5,16,RAI,WR,28,16,16,0,0,0,0,0,0,0,0,142,89,1309,9,185,275.4,226.4
