 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-1.5,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Marshall Faulk*+,1,1,STL,RB,28,14,14,0,1,0,0,0,260,1382,12,104,83,765,9,343,430.2,381.2
Priest Holmes*+,2,2,KAN,RB,28,16,16,0,0,0,0,0,327,1555,8,75,62,614,2,277,342.9,303.9
Ahman Green*,3,3,GNB,RB,24,16,16,0,0,0,0,0,304,1387,9,82,62,594,2,264,329.6,290.1
Shaun Alexander,4,4,SEA,RB,24,16,12,0,0,0,0,0,309,1318,14,59,44,343,2,262,310.1,280.1
Marvin Harrison*,1,5,IND,WR,29,16,16,0,0,0,0,0,1,3,0,164,109,1524,15,243,354.7,297.2
Curtis Martin*,5,6,NYJ,RB,28,16,16,1,1,18,1,0,333,1513,10,63,53,320,0,248,306.0,272.5
Terrell Owens*+,2,7,SFO,WR,28,16,16,0,0,0,0,0,4,21,0,155,93,1412,16,239,335.3,285.8
Corey Dillon*,6,8,CIN,RB,27,16,16,0,1,0,0,1,340,1315,10,61,34,228,3,230,268.8,243.3
Jeff Garcia*,1,9,SFO,QB,31,16,16,316,504,3538,32,12,72,254,5,0,0,0,0,305,318.4,307.9
Kurt Warner*+,2,10,STL,QB,30,16,16,375,546,4830,36,22,28,60,0,0,0,0,0,301,321.2,313.2
LaDainian Tomlinson,7,11,SDG,RB,22,16,16,0,0,0,0,0,339,1236,10,74,59,367,0,220,281.3,241.8
Ricky Williams,8,12,NOR,RB,24,16,16,0,0,0,0,0,313,1245,6,88,60,511,1,218,279.6,239.6
David Boston*+,3,13,ARI,WR,23,16,15,0,0,0,0,0,5,35,0,175,98,1598,8,211,311.8,259.3
Antowain Smith,9,14,NWE,RB,29,16,15,0,0,0,0,0,287,1157,12,28,19,192,1,213,235.9,218.4
Rod Smith*,4,15,DEN,WR,31,15,14,0,0,0,0,0,3,27,0,172,113,1343,11,205,320.5,260.5
Rich Gannon*,3,16,OAK,QB,36,16,16,361,549,3828,27,9,63,231,2,0,0,0,0,278,286.7,274.2
Steve McNair,4,17,TEN,QB,28,15,15,264,431,3350,21,12,75,414,5,0,0,0,0,271,286.9,278.4
Stephen Davis,10,18,WAS,RB,27,16,16,0,0,0,0,0,356,1432,5,37,28,205,0,196,226.7,203.7
Randy Moss,5,19,MIN,WR,24,16,16,1,1,29,0,0,3,38,0,154,82,1233,10,188,273.3,229.3
