 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-1.5,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
David Johnson*+,1,1,ARI,RB,25,16,16,0,0,0,0,0,293,1239,16,120,80,879,4,328,416.8,367.8
Ezekiel Elliott*+,2,2,DAL,RB,21,15,15,0,0,0,0,0,322,1631,15,39,32,363,1,293,332.4,309.4
LeSean McCoy*,3,3,BUF,RB,28,15,15,0,0,0,0,0,234,1267,13,57,50,356,1,248,304.3,273.3
Aaron Rodgers*,1,4,GNB,QB,33,16,16,401,610,4428,40,7,67,369,4,0,0,0,0,382,397.0,387.0
DeMarco Murray*,4,5,TEN,RB,28,16,16,1,2,10,1,0,293,1287,9,67,53,377,3,243,300.8,267.3
Le'Veon Bell*,5,6,PIT,RB,24,12,12,0,1,0,0,0,261,1268,7,94,75,616,2,242,324.4,279.9
Devonta Freeman*,6,7,ATL,RB,24,16,16,0,0,0,0,0,227,1079,11,65,54,462,2,232,291.1,257.1
LeGarrette Blount,7,8,NWE,RB,30,16,8,0,0,0,0,0,299,1161,18,8,7,38,0,226,236.9,229.4
Matt Ryan*+,2,9,ATL,QB,31,16,16,373,534,4944,38,7,35,117,0,0,0,0,0,355,362.5,354.5
Mike Evans*,1,10,TAM,WR,23,16,16,0,0,0,0,0,0,0,0,173,96,1321,12,208,307.1,256.1
Jordy Nelson,2,11,GNB,WR,31,16,16,0,0,0,0,0,0,0,0,152,97,1257,14,208,308.7,256.2
Antonio Brown*+,3,12,PIT,WR,28,15,15,0,0,0,0,0,3,9,0,154,106,1284,12,207,310.3,254.3
Melvin Gordon*,8,13,SDG,RB,23,13,11,0,0,0,0,0,254,997,10,57,41,419,2,210,258.6,230.1
Jordan Howard*,9,14,CHI,RB,22,15,13,0,0,0,0,0,252,1313,6,50,29,298,1,201,237.1,215.6
Odell Beckham*,4,15,NYG,WR,24,16,16,0,0,0,0,0,1,9,0,169,101,1367,10,196,300.6,246.1
Drew Brees*,3,16,NOR,QB,37,16,16,471,673,5208,37,15,23,20,2,0,0,0,0,336,354.3,347.3
Mark Ingram,10,17,NOR,RB,27,16,14,0,0,0,0,0,205,1043,6,58,46,319,4,198,250.2,219.2
T.Y. Hilton*,5,18,IND,WR,27,16,16,0,0,0,0,0,0,0,0,155,91,1448,6,185,276.8,228.3
Jay Ajayi*,11,19,MIA,RB,23,15,12,0,0,0,0,0,260,1272,8,35,27,151,0,188,222.3,201.8
Julio Jones*+,6,20,ATL,WR,27,14,14,0,0,0,0,0,0,0,0,129,83,1409,6,179,262.9,218.4
Travis Kelce*+,1,21,KAN,TE,27,16,15,0,0,0,0,0,1,-5,0,117,85,1125,4,138,226.0,180.5
Davante Adams,7,22,GNB,WR,24,16,15,0,0,0,0,0,0,0,0,121,75,997,12,174,250.7,209.2
Frank Gore,12,23,IND,RB,33,16,16,0,0,0,0,0,263,1025,4,47,38,277,4,176,221.2,195.2
Latavius Murray,13,24,OAK,RB,26,14,12,0,0,0,0,0,195,788,12,43,33,264,0,175,215.2,191.7
Brandin Cooks,8,25,NOR,WR,23,16,12,0,0,0,0,0,6,30,0,117,78,1173,8,168,249.3,207.3
Greg Olsen*,2,26,CAR,TE,31,16,16,0,0,0,0,0,0,0,0,129,80,1073,3,131,210.3,167.3
Andrew Luck,4,27,IND,QB,27,15,15,346,545,4240,31,13,64,341,2,0,0,0,0,310,331.7,320.7
Kyle Rudolph,3,28,MIN,TE,27,16,16,0,0,0,0,0,0,0,0,132,83,840,7,128,212.0,167.5
Kirk Cousins*,5,29,WAS,QB,28,16,16,406,606,4917,25,12,34,96,4,0,0,0,0,306,318.3,312.3
Michael Thomas,9,30,NOR,WR,23,15,12,0,0,0,0,0,0,0,0,121,92,1137,9,164,260.7,209.7
Doug Baldwin*,10,31,SEA,WR,28,16,15,1,1,15,1,0,3,2,0,125,94,1128,7,162,256.6,206.6
Jimmy Graham*,4,32,SEA,TE,30,16,15,0,0,0,0,0,1,0,0,95,65,923,6,124,194.3,156.8
Delanie Walker*,5,33,TEN,TE,32,15,10,0,0,0,0,0,2,11,0,102,65,800,7,123,191.1,155.6
Isaiah Crowell,14,34,CLE,RB,23,16,16,0,0,0,0,0,198,952,7,53,40,319,0,165,213.1,185.1
Carlos Hyde,15,35,SFO,RB,26,13,13,0,0,0,0,0,217,988,6,33,27,163,3,165,201.1,178.6
Spencer Ware,16,36,KAN,RB,25,14,14,0,0,0,0,0,214,921,3,42,33,447,2,161,202.8,177.3
Lamar Miller,18,37,HOU,RB,25,14,14,0,0,0,0,0,268,1073,5,39,31,188,1,160,198.1,175.6
Tevin Coleman,17,38,ATL,RB,23,13,0,0,0,0,0,0,118,520,8,40,31,421,3,160,197.1,175.6
