 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-1.0,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Shaun Alexander*,1,1,SEA,RB,27,16,16,0,0,0,0,0,353,1696,16,38,23,170,4,307,333.1,313.1
Daunte Culpepper*,1,2,MIN,QB,27,16,16,379,548,4717,39,11,88,406,2,0,0,0,0,381,393.8,383.3
Tiki Barber*,2,3,NYG,RB,29,16,14,0,0,0,0,0,322,1518,13,79,52,578,2,300,355.1,320.6
LaDainian Tomlinson*+,3,4,SDG,RB,25,15,15,1,2,38,0,0,339,1335,17,66,53,441,1,287,343.1,307.6
Peyton Manning*+,2,5,IND,QB,28,16,16,336,497,4557,49,10,25,38,0,0,0,0,0,362,372.6,367.1
Curtis Martin*+,4,6,NYJ,RB,31,16,16,0,0,0,0,0,371,1697,12,49,41,245,2,278,324.2,296.7
Muhsin Muhammad*+,1,7,CAR,WR,31,16,16,0,0,0,0,0,3,15,0,160,93,1405,16,238,332.5,281.5
Antonio Gates*+,1,8,SDG,TE,24,15,15,0,0,0,0,0,0,0,0,114,81,964,13,174,258.4,214.9
Domanick Williams,5,9,HOU,RB,24,15,15,0,0,0,0,0,302,1188,13,84,68,588,1,262,333.6,291.6
Edgerrin James*,6,10,IND,RB,26,16,16,0,0,0,0,0,334,1548,9,60,51,483,0,259,313.1,278.6
Tony Gonzalez*,2,11,KAN,TE,28,16,16,0,0,0,0,0,1,5,0,148,102,1258,7,168,273.3,219.3
Corey Dillon*,7,12,NWE,RB,30,15,14,0,0,0,0,0,345,1635,12,21,15,103,1,252,270.3,254.3
Javon Walker*,2,13,GNB,WR,26,16,12,0,0,0,0,0,0,0,0,144,89,1382,12,210,301.2,252.7
Joe Horn*,3,14,NOR,WR,32,16,16,0,0,0,0,0,0,0,0,153,94,1399,11,208,304.9,254.9
Terrell Owens*+,4,15,PHI,WR,31,14,14,0,0,0,0,0,3,-5,0,127,77,1200,14,204,282.5,240.0
Marvin Harrison*,5,16,IND,WR,32,16,16,0,0,0,0,0,0,0,0,139,86,1113,15,201,289.8,243.3
Donovan McNabb*,3,17,PHI,QB,28,15,15,300,469,3875,31,8,41,220,3,0,0,0,0,303,313.0,303.0
Torry Holt*,6,18,STL,WR,28,16,16,0,0,0,0,0,0,0,0,135,94,1372,10,197,292.7,241.2
Drew Bennett,7,19,TEN,WR,26,16,16,1,1,26,1,0,1,12,0,144,80,1247,11,197,278.4,233.9
Rudi Johnson*,8,20,CIN,RB,25,16,16,0,0,0,0,0,361,1454,12,28,15,84,0,226,241.8,229.3
Jason Witten*,3,21,DAL,TE,22,16,15,0,0,0,0,0,0,0,0,122,87,980,6,136,225.0,177.5
Reggie Wayne,8,22,IND,WR,26,16,16,0,0,0,0,0,1,-4,0,115,77,1210,12,193,272.6,231.1
Chad Johnson*,9,23,CIN,WR,26,16,16,0,0,0,0,0,4,39,0,170,95,1274,9,185,282.8,231.8
Willis McGahee,9,24,BUF,RB,23,16,11,0,0,0,0,0,284,1128,13,36,22,169,0,208,233.7,214.7
Donald Driver,10,25,GNB,WR,29,16,11,0,0,0,0,0,3,4,0,137,84,1208,9,177,263.2,217.2
Brian Westbrook*,10,26,PHI,RB,25,13,12,0,0,0,0,0,177,812,3,87,73,703,6,206,284.0,241.0
Alge Crumpler*,4,27,ATL,TE,27,14,14,0,0,0,0,0,0,0,0,74,48,774,6,113,163.9,136.4
Clinton Portis,11,28,WAS,RB,23,15,15,1,2,15,1,0,343,1315,5,57,40,235,2,202,245.1,216.6
Priest Holmes,12,29,KAN,RB,31,8,8,0,0,0,0,0,196,892,14,25,19,187,1,198,220.9,203.4
Brandon Stokley,11,30,IND,WR,28,16,3,0,0,0,0,0,0,0,0,102,68,1077,10,168,238.2,200.7
Ahman Green*,13,31,GNB,RB,27,15,15,1,1,20,1,0,259,1163,7,51,40,275,1,197,239.1,209.6
Reuben Droughns,14,32,DEN,RB,26,16,15,0,0,0,0,0,275,1240,6,44,32,241,2,196,231.6,207.1
Isaac Bruce,12,33,STL,WR,32,16,16,0,2,0,0,0,0,0,0,148,89,1292,6,165,254.7,204.7
Randy McMichael,5,34,MIA,TE,25,16,16,0,0,0,0,0,0,0,0,118,73,791,4,105,180.1,139.6
Michael Clayton,13,35,TAM,WR,22,16,13,0,0,0,0,0,5,30,0,122,80,1193,7,164,246.8,203.3
Warrick Dunn,15,36,ATL,RB,29,16,16,0,0,0,0,0,265,1106,9,39,29,294,0,194,227.5,205.5
Darrell Jackson,14,37,SEA,WR,26,16,16,0,0,0,0,0,0,0,0,156,87,1199,7,164,252.9,205.4
Trent Green,4,38,KAN,QB,34,16,16,369,556,4591,27,17,25,85,0,0,0,0,0,268,282.6,274.1
Jeremy Shockey,6,39,NYG,TE,24,15,15,0,0,0,0,0,0,0,0,97,61,666,6,103,166.1,132.1
Michael Pittman,16,40,TAM,RB,29,13,13,0,0,0,0,0,219,926,7,65,41,391,3,192,235.7,206.2
Nate Burleson,15,41,MIN,WR,23,16,15,0,0,0,0,0,6,49,0,102,68,1006,9,162,238.0,200.5
Eddie Kennison,16,42,KAN,WR,31,14,14,0,0,0,0,0,2,15,0,106,62,1086,8,160,224.6,190.1
Rod Smith,17,43,DEN,WR,34,16,16,0,0,0,0,0,5,33,0,136,79,1144,7,160,239.7,195.2
Derrick Mason,18,44,TEN,WR,30,16,16,0,0,0,0,0,1,-3,0,158,96,1168,7,159,256.5,204.5
Eric Johnson,7,45,SFO,TE,25,16,14,0,0,0,0,0,0,0,0,117,82,825,2,95,179.0,134.5
Deuce McAllister,17,46,NOR,RB,26,14,14,0,0,0,0,0,269,1074,9,48,34,228,0,184,221.7,196.2
Randy Moss,19,47,MIN,WR,27,13,13,1,2,37,0,1,0,0,0,86,49,767,13,154,206.7,178.7
Jerry Porter,20,48,OAK,WR,26,16,16,0,0,0,0,0,1,-4,0,136,64,998,9,153,219.4,183.4
Jake Delhomme,5,49,CAR,QB,29,16,16,310,533,3886,29,15,25,71,1,0,0,0,0,259,270.5,261.5
Jimmy Smith,21,50,JAX,WR,35,16,16,0,0,0,0,0,0,0,0,137,74,1172,6,153,229.2,188.2
Jake Plummer,6,51,DEN,QB,30,16,16,303,521,4089,27,20,62,202,1,0,0,0,0,258,280.8,271.8
Brett Favre,7,52,GNB,QB,35,16,16,346,540,4088,30,17,16,36,0,0,0,0,0,257,275.1,270.1
Andre Johnson*,22,53,HOU,WR,23,16,16,0,0,0,0,0,4,12,0,138,79,1142,6,151,232.9,189.9
Jerome Bettis*,18,54,PIT,RB,32,15,6,1,1,10,1,0,250,941,13,8,6,46,0,181,189.6,183.1
Ashley Lelie,23,55,DEN,WR,24,16,16,0,0,0,0,0,3,5,0,101,54,1084,7,151,207.9,177.9
Thomas Jones,19,56,CHI,RB,26,14,14,0,0,0,0,0,240,948,7,72,56,427,0,180,240.5,205.5
Lee Evans,24,57,BUF,WR,23,16,11,0,0,0,0,0,5,85,0,74,48,843,9,147,197.3,169.8
Fred Taylor,20,58,JAX,RB,28,14,14,0,0,0,0,0,260,1224,2,58,36,345,1,175,215.4,189.9
Aaron Brooks,8,59,NOR,QB,28,16,16,309,542,3810,21,16,58,173,4,1,1,1,0,248,264.3,251.3
Chris Chambers,25,60,MIA,WR,26,15,15,0,0,0,0,0,9,76,0,140,69,898,7,141,212.9,174.9
Drew Brees*,9,61,SDG,QB,25,15,15,262,400,3159,27,7,53,85,2,1,1,38,0,245,252.2,245.2
Marc Bulger,10,62,STL,QB,27,14,14,321,485,3964,21,14,19,89,3,0,0,0,0,243,258.0,252.5
Daniel Graham,8,63,NWE,TE,26,14,14,0,0,0,0,0,0,0,0,48,30,364,7,78,111.4,93.4
Bubba Franks,9,64,GNB,TE,26,16,14,0,0,0,0,0,0,0,0,50,34,361,7,78,115.1,95.1
Kevin Jones,21,65,DET,RB,22,15,14,0,0,0,0,0,241,1133,5,41,28,180,1,167,200.3,179.3
Eric Moulds,26,66,BUF,WR,31,16,16,0,0,0,0,0,5,19,0,152,88,1043,5,136,226.7,179.2
Nick Goings,22,67,CAR,RB,26,16,8,0,0,0,0,0,217,821,6,61,45,394,1,164,214.0,185.0
Keyshawn Johnson,27,68,DAL,WR,32,16,16,0,2,0,0,1,2,13,0,124,70,981,6,133,206.9,168.4
Emmitt Smith,23,69,ARI,RB,35,15,15,1,1,21,1,0,267,937,9,20,15,105,0,163,182.0,166.5
Hines Ward*,28,70,PIT,WR,28,16,16,0,0,0,0,0,7,25,1,108,80,1004,4,133,215.4,171.9
Dallas Clark,10,71,IND,TE,25,15,13,0,0,0,0,0,0,0,0,39,25,423,5,72,99.3,82.8
Roy Williams,29,72,DET,WR,23,14,12,0,1,0,0,0,1,1,0,118,54,817,8,130,186.3,155.8
Tom Brady*,11,73,NWE,QB,27,16,16,288,474,3692,28,14,43,28,0,0,0,0,0,234,248.0,241.5
Jeb Putzier,11,74,DEN,TE,25,16,5,0,0,0,0,0,0,0,0,54,36,572,2,69,108.2,87.2
Michael Vick*,12,75,ATL,QB,24,15,15,181,321,2313,14,12,120,902,3,0,0,0,0,233,242.7,228.7
L.J. Smith,12,76,PHI,TE,24,16,8,0,0,0,0,0,0,0,0,54,34,377,5,68,104.7,84.7
Tom Lopienski,3,77,IND,,25,2,0,0,0,0,0,0,0,0,0,,0,0,0,,,
Chris Brown,24,78,TEN,RB,23,11,11,0,0,0,0,0,220,1067,6,33,20,147,0,157,180.4,161.4
Matt Hasselbeck,13,,SEA,QB,29,14,14,279,474,3382,22,15,27,90,1,0,0,0,0,212,227.8,222.3
David Carr,14,,HOU,QB,25,16,16,285,466,3531,16,14,73,299,0,0,0,0,0,207,222.1,211.1
Joey Harrington,15,,DET,QB,26,16,16,274,489,3047,19,12,48,175,0,0,0,0,0,193,208.4,199.4
Byron Leftwich,16,,JAX,QB,24,14,14,267,441,2941,15,10,39,148,2,1,1,-7,0,192,206.2,197.2
Kerry Collins,17,,OAK,QB,32,14,13,289,513,3495,21,20,16,36,0,0,0,0,0,187,206.9,200.4
Vinny Testaverde,18,,DAL,QB,41,16,15,297,495,3532,17,20,21,38,1,0,0,0,0,181,200.1,193.1
Chad Pennington,19,,NYJ,QB,28,13,13,242,370,2673,16,9,34,126,1,0,0,0,0,172,184.0,175.5
Ben Roethlisberger,20,,PIT,QB,22,14,13,196,295,2621,17,11,56,144,1,0,0,0,0,171,187.2,180.2
Drew Bledsoe,21,,BUF,QB,32,16,16,256,450,2932,20,16,22,37,0,0,0,0,0,169,183.5,176.0
Brian Griese,22,,TAM,QB,29,11,10,233,336,2632,20,12,30,17,0,1,1,-4,0,163,175.6,169.1
Carson Palmer,23,,CIN,QB,25,13,13,263,432,2897,18,18,18,47,1,0,0,0,0,163,182.6,178.6
Billy Volek,24,,TEN,QB,28,10,8,218,357,2486,18,10,11,50,1,1,1,0,0,162,173.4,166.9
Kyle Boller,25,,BAL,QB,23,16,16,258,464,2559,13,11,53,189,1,0,0,0,0,159,170.8,159.3
Jamal Lewis,25,,BAL,RB,25,12,12,0,0,0,0,0,235,1006,7,12,10,116,0,154,169.2,157.2
Larry Johnson,26,,KAN,RB,25,10,3,0,0,0,0,0,120,581,9,29,22,278,2,152,179.9,162.9
Josh McCown,26,,ARI,QB,25,14,13,233,408,2511,11,10,36,112,2,1,1,-5,0,149,160.1,147.6
Kevan Barlow,27,,SFO,RB,25,15,14,0,0,0,0,0,244,822,7,45,35,212,0,145,185.4,160.9
Marshall Faulk,28,,STL,RB,31,14,14,0,0,0,0,0,195,774,3,65,50,310,1,136,191.4,159.4
Julius Jones,29,,DAL,RB,23,8,7,0,0,0,0,0,197,819,7,26,17,109,0,135,156.3,140.3
Derrick Blaylock,30,,KAN,RB,25,12,5,0,0,0,0,0,118,539,8,36,25,246,1,133,163.5,145.0
Larry Fitzgerald,30,,ARI,WR,21,16,16,0,0,0,0,0,8,14,0,115,58,780,8,127,187.9,155.4
T.J. Houshmandzadeh,31,,CIN,WR,27,16,13,0,0,0,0,0,6,51,0,108,73,978,4,127,202.9,163.4
David Patten,32,,NWE,WR,30,16,11,0,0,0,0,0,1,5,0,95,44,800,7,123,169.5,144.5
Jeff Garcia,27,,CLE,QB,34,11,10,144,252,1731,10,9,35,169,2,0,0,0,0,120,130.6,120.1
Onterrio Smith,31,,MIN,RB,24,11,6,0,0,0,0,0,124,544,2,45,36,394,2,120,160.8,135.8
Tim Rattay,28,,SFO,QB,27,9,9,198,325,2169,10,10,12,55,0,0,0,0,0,118,125.8,117.3
Santana Moss,33,,NYJ,WR,25,15,14,0,0,0,0,0,6,18,0,78,45,838,5,116,162.6,136.1
Marcus Robinson,34,,MIN,WR,29,16,7,0,0,0,0,0,0,0,0,79,47,657,8,114,163.2,136.2
Steven Jackson,32,,STL,RB,21,14,3,0,0,0,0,0,134,673,4,24,19,189,0,112,136.7,120.7
Donte' Stallworth,35,,NOR,WR,24,16,10,0,0,0,0,0,6,37,0,106,58,767,5,110,171.4,139.4
