 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-1.6,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Emmitt Smith*+,1,1,DAL,RB,26,16,16,0,0,0,0,0,377,1773,25,78,62,375,0,365,429.3,388.8
Jerry Rice*+,1,2,SFO,WR,33,16,16,1,1,41,1,0,5,36,1,176,122,1848,15,292,421.5,356.0
Isaac Bruce,2,3,STL,WR,23,16,16,0,0,0,0,0,3,17,0,199,119,1781,13,260,380.8,317.3
Herman Moore*+,3,4,DET,WR,26,16,16,0,0,0,0,0,0,0,0,206,123,1686,14,255,377.6,312.1
Brett Favre*+,1,5,GNB,QB,26,16,16,359,570,4413,38,13,39,181,3,0,0,0,0,339,353.6,343.6
Curtis Martin*,2,6,NWE,RB,22,16,15,0,0,0,0,0,368,1487,14,50,30,261,1,267,300.3,276.8
Barry Sanders*+,3,7,DET,RB,27,16,16,1,2,11,0,0,314,1500,11,70,48,398,1,262,314.7,283.2
Cris Carter*,4,8,MIN,WR,30,16,16,0,0,0,0,0,1,0,0,197,122,1371,17,239,364.1,300.1
Chris Warren*,4,9,SEA,RB,27,16,16,0,0,0,0,0,310,1346,15,50,35,247,1,255,293.8,267.8
Robert Brooks,5,10,GNB,WR,25,16,16,0,0,0,0,0,4,21,0,167,102,1497,13,230,334.8,280.8
Scott Mitchell,2,11,DET,QB,27,16,16,346,583,4338,32,12,36,104,4,0,0,0,0,314,327.9,317.9
Carl Pickens*,6,12,CIN,WR,25,16,16,0,0,0,0,0,1,6,0,168,99,1234,17,226,327.5,274.5
Ricky Watters*,5,13,PHI,RB,26,16,16,0,0,0,0,0,337,1273,11,93,62,434,1,243,307.7,267.7
Michael Irvin*,7,14,DAL,WR,29,16,16,0,0,0,0,0,0,0,0,165,111,1603,10,220,333.8,274.8
Marshall Faulk*,6,15,IND,RB,22,16,16,0,0,0,0,0,289,1078,11,74,56,475,3,239,297.3,259.3
Brett Perriman,8,16,DET,WR,30,16,16,0,0,0,0,0,5,48,0,179,108,1488,9,210,320.1,262.6
Terry Allen,7,17,WAS,RB,27,16,16,0,0,0,0,0,338,1309,10,40,31,232,1,220,254.1,229.6
Derek Loville,8,18,SFO,RB,27,16,16,0,0,0,0,0,218,723,10,110,87,662,3,219,311.0,261.0
Warren Moon*,3,19,MIN,QB,39,16,16,377,606,4228,33,14,33,82,0,0,0,0,0,281,291.8,282.3
Tim Brown*,9,20,OAK,WR,29,16,16,0,0,0,0,0,0,0,0,148,89,1342,10,194,286.2,238.7
Edgar Bennett,9,21,GNB,RB,26,16,16,0,0,0,0,0,316,1067,3,79,61,648,4,214,279.5,242.0
Anthony Miller*,10,22,DEN,WR,30,14,14,0,0,0,0,0,1,5,0,108,59,1079,14,192,253.9,220.9
Jeff Blake*,4,23,CIN,QB,25,16,16,326,567,3822,28,17,53,309,2,0,0,0,0,276,293.8,282.8
Harvey Williams,10,24,OAK,RB,28,16,16,1,1,13,1,0,255,1114,9,60,54,375,0,207,264.9,229.4
Eric Metcalf,11,25,ATL,WR,27,16,15,0,1,0,0,0,28,133,1,153,104,1189,8,186,300.2,240.2
Curtis Conway,12,26,CHI,WR,24,16,16,0,1,0,0,0,5,77,0,117,62,1037,12,183,248.4,214.4
Ben Coates*+,1,27,NWE,TE,26,16,15,0,0,0,0,0,0,0,0,137,84,915,6,128,212.5,165.5
Errict Rhett,11,28,TAM,RB,25,16,16,0,0,0,0,0,332,1207,11,29,14,110,0,198,216.7,202.7
Terrell Davis,12,29,DEN,RB,23,14,14,0,0,0,0,0,237,1117,7,82,49,367,1,196,248.9,215.9
John Elway,5,30,DEN,QB,35,16,16,316,542,3970,26,14,41,176,1,0,0,0,0,262,277.9,267.4
Rodney Hampton,13,31,NYG,RB,26,16,15,0,0,0,0,0,306,1182,10,28,24,142,0,194,221.9,201.4
Erik Kramer,6,32,CHI,QB,31,16,16,315,522,3838,29,10,35,39,1,0,0,0,0,259,269.4,263.4
Craig Heyward*,14,33,ATL,RB,29,16,16,0,0,0,0,0,236,1083,6,46,37,350,2,191,232.8,206.8
Jake Reed,13,34,MIN,WR,28,16,16,0,0,0,0,0,0,0,0,142,72,1167,9,171,245.2,205.7
Joey Galloway,14,35,SEA,WR,24,16,16,0,0,0,0,0,11,154,1,133,67,1039,7,167,245.8,205.8
Terance Mathis,15,36,ATL,WR,28,14,12,0,0,0,0,0,0,0,0,118,78,1039,9,164,244.4,201.9
Bernie Parmalee,15,37,MIA,RB,28,16,12,0,0,0,0,0,236,878,9,46,39,345,1,182,224.8,196.8
Mark Chmura*,2,38,GNB,TE,26,16,15,0,0,0,0,0,0,0,0,75,54,679,7,112,168.9,138.9
Yancey Thigpen*,16,39,PIT,WR,26,16,16,0,0,0,0,0,1,1,0,151,85,1307,5,161,248.3,202.3
Jeff George,7,40,ATL,QB,28,16,16,336,557,4143,24,11,27,17,0,0,0,0,0,247,258.4,252.4
Tony Martin,17,41,SDG,WR,30,16,16,0,1,0,0,0,0,0,0,165,90,1224,6,158,249.9,200.4
Quinn Early,18,42,NOR,WR,30,16,15,0,0,0,0,0,2,-3,0,134,81,1087,8,156,239.9,195.9
Jeff Graham,19,43,CHI,WR,26,16,16,0,0,0,0,0,0,0,0,138,82,1301,4,154,237.6,192.1
Jim Everett,8,44,NOR,QB,32,16,16,345,567,3970,26,14,24,42,0,0,0,0,0,241,255.0,249.0
Rashaan Salaam,16,45,CHI,RB,21,16,11,0,0,0,0,0,296,1074,10,13,7,56,0,173,178.5,167.5
Jay Novacek*,3,46,DAL,TE,33,15,15,0,0,0,0,0,0,0,0,90,62,705,5,103,167.0,132.5
Thurman Thomas,17,47,BUF,RB,29,14,14,0,0,0,0,0,267,1005,6,41,26,220,2,171,199.5,177.5
Shannon Sharpe*,4,48,DEN,TE,27,13,12,0,0,0,0,0,0,0,0,94,63,756,4,100,165.1,130.1
Tony McGee,5,49,CIN,TE,24,16,16,0,0,0,0,0,0,0,0,92,55,754,4,99,156.4,124.9
Wesley Walls,6,50,NOR,TE,29,16,12,0,0,0,0,0,0,0,0,92,57,694,4,95,154.9,122.9
Steve Bono*,9,51,KAN,QB,33,16,16,293,520,3121,21,10,28,113,5,0,0,0,0,230,241.1,230.1
Bill Brooks,20,52,BUF,WR,31,15,10,0,0,0,0,0,3,7,0,88,53,763,11,143,199.0,169.5
Steve Young*,10,53,SFO,QB,34,11,11,299,447,3200,20,11,50,250,3,0,0,0,0,229,244.5,237.0
Irving Fryar,21,54,MIA,WR,33,16,16,0,0,0,0,0,0,0,0,109,62,910,8,139,204.0,170.0
Rodney Thomas,18,55,HOU,RB,22,16,10,0,0,0,0,0,251,947,5,59,39,204,2,159,200.1,170.6
Ken Dilger,7,56,IND,TE,24,16,13,0,0,0,0,0,0,0,0,55,42,635,4,88,132.5,108.5
O.J. McDuffie,22,57,MIA,WR,26,16,16,0,0,0,0,0,3,6,0,92,62,819,8,135,195.5,159.5
Chris Sanders,23,58,HOU,WR,23,16,11,0,0,0,0,0,2,-19,0,87,35,823,9,134,172.4,151.9
Bert Emanuel,24,59,ATL,WR,25,16,16,0,0,0,0,0,1,0,0,137,74,1039,5,134,209.9,168.9
Dan Marino*,11,60,MIA,QB,34,14,14,309,482,3668,24,15,11,14,0,1,1,-6,0,220,235.0,228.0
Jackie Harris,8,61,TAM,TE,27,16,16,0,0,0,0,0,0,0,0,99,62,751,1,81,145.1,110.1
Henry Ellard,25,62,WAS,WR,34,15,15,0,0,0,0,0,0,0,0,113,56,1005,5,131,189.0,157.5
Terry Kirby,19,63,MIA,RB,25,16,4,1,1,31,1,0,108,414,4,83,66,618,3,150,221.4,181.4
Johnny Mitchell,9,64,NYJ,TE,24,12,11,0,0,0,0,0,0,0,0,80,45,497,5,80,126.7,100.2
Mario Bates,20,65,NOR,RB,22,16,16,0,0,0,0,0,244,951,7,21,18,114,0,149,171.5,155.5
Brent Jones*,10,66,SFO,TE,32,16,16,0,0,0,0,0,0,0,0,101,60,595,3,78,139.0,104.5
Brian Blades,26,67,SEA,WR,30,16,16,0,0,0,0,0,2,4,0,132,77,1001,4,125,204.5,163.0
Willie Green,27,68,CAR,WR,29,16,7,0,0,0,0,0,0,0,0,93,47,882,6,124,173.7,146.7
