 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-4.3,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Shaun Alexander*+,1,1,SEA,RB,28,16,16,0,0,0,0,0,370,1880,27,29,15,78,1,364,379.3,366.3
Larry Johnson*,2,2,KAN,RB,26,16,9,0,0,0,0,0,336,1750,20,49,33,343,1,335,371.8,346.8
LaDainian Tomlinson*,3,3,SDG,RB,26,16,16,3,4,47,3,0,339,1462,18,77,51,370,2,317,372.6,339.6
Tiki Barber*+,4,4,NYG,RB,30,16,16,0,1,0,0,0,357,1860,9,70,54,530,2,307,366.5,333.0
Edgerrin James*,5,5,IND,RB,27,15,15,0,0,0,0,0,360,1506,13,50,44,337,1,268,317.3,288.3
Steve Smith*+,1,6,CAR,WR,26,16,16,0,0,0,0,0,4,25,1,150,103,1563,12,237,341.8,286.3
Clinton Portis,6,7,WAS,RB,24,16,16,1,2,17,1,0,352,1516,11,41,30,216,0,246,280.4,257.9
Antonio Gates*+,1,8,SDG,TE,25,15,15,0,0,0,0,0,0,0,0,140,89,1101,10,170,262.1,214.6
Larry Fitzgerald*,2,9,ARI,WR,22,16,16,0,0,0,0,0,8,41,0,165,103,1409,10,205,311.0,256.5
Santana Moss*,3,10,WAS,WR,26,16,16,0,0,0,0,0,3,-3,0,134,84,1483,9,202,287.5,241.0
Chad Johnson*+,4,11,CIN,WR,27,16,16,0,0,0,0,0,5,33,0,155,97,1432,9,201,300.0,248.0
LaMont Jordan,8,12,OAK,RB,27,14,14,0,0,0,0,0,272,1025,9,103,70,563,2,227,301.8,259.8
Rudi Johnson,7,13,CIN,RB,26,16,14,0,0,0,0,0,337,1458,12,30,23,90,0,227,252.3,237.3
Joey Galloway,5,14,TAM,WR,34,16,16,0,0,0,0,0,2,4,0,152,83,1287,10,189,275.1,230.6
Anquan Boldin,6,15,ARI,WR,25,14,14,0,1,0,0,0,12,45,0,171,102,1402,7,189,292.7,237.7
Torry Holt*,7,16,STL,WR,29,14,14,0,0,0,0,0,1,2,0,163,102,1331,9,187,291.3,236.3
Chris Chambers*,8,17,MIA,WR,27,16,16,0,0,0,0,0,12,92,0,166,82,1118,11,187,269.5,223.0
Marvin Harrison*,9,18,IND,WR,33,15,15,0,0,0,0,0,0,0,0,134,82,1146,12,187,271.6,227.6
Jeremy Shockey*,2,19,NYG,TE,25,15,15,0,0,0,0,0,0,0,0,121,65,891,7,133,201.1,165.6
Carson Palmer*,1,20,CIN,QB,26,16,16,345,509,3836,32,12,34,41,1,0,0,0,0,270,282.0,276.5
Thomas Jones,9,21,CHI,RB,27,15,15,0,0,0,0,0,314,1335,9,39,26,143,0,202,232.8,212.8
Mike Anderson,10,22,DEN,,32,15,15,0,0,0,0,0,239,1014,12,21,18,212,1,201,223.6,207.6
Todd Heap,3,23,BAL,TE,25,16,16,0,0,0,0,0,0,0,0,114,75,855,7,128,204.5,163.0
Steven Jackson,11,24,STL,RB,22,15,15,0,0,0,0,0,254,1046,8,55,43,320,2,197,244.1,215.1
Hines Ward,10,25,PIT,WR,29,15,15,0,0,0,0,0,3,10,0,114,69,975,11,165,236.0,198.0
Alge Crumpler*,4,26,ATL,TE,28,16,16,0,0,0,0,0,0,0,0,118,65,877,5,120,187.2,151.2
Plaxico Burress,11,27,NYG,WR,28,16,15,0,0,0,0,0,0,0,0,166,76,1214,7,163,241.9,200.4
Tom Brady*,2,28,NWE,QB,28,16,16,334,530,4110,26,14,27,89,1,0,0,0,0,255,270.3,265.3
Warrick Dunn*,12,29,ATL,RB,30,16,16,0,0,0,0,0,280,1416,3,37,29,220,1,188,221.1,199.1
Terry Glenn,12,30,DAL,WR,31,16,16,0,0,0,0,0,2,-4,1,119,62,1136,7,161,226.2,192.2
Jason Witten*,5,31,DAL,TE,23,16,16,0,0,0,0,0,0,0,0,89,66,757,6,112,180.7,144.7
Peyton Manning*+,3,32,IND,QB,29,16,16,305,453,3747,28,10,33,45,0,0,0,0,0,248,258.9,253.4
Donald Driver,13,33,GNB,WR,30,16,16,0,0,0,0,0,2,13,0,146,86,1221,5,153,242.4,196.4
T.J. Houshmandzadeh,14,34,CIN,WR,28,14,12,0,0,0,0,0,8,62,1,115,78,956,7,150,230.3,187.8
Randy Moss,15,35,OAK,WR,28,16,15,0,0,0,0,0,0,0,0,123,60,1005,8,149,211.5,178.5
Rod Smith*,16,36,DEN,WR,35,16,16,0,1,0,0,0,1,7,0,126,85,1105,6,147,234.2,187.7
