 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.1,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Brett Favre*+,1,1,GNB,QB,27,16,16,325,543,3899,39,13,49,136,2,0,0,0,0,318,331.1,319.6
Terry Allen*,1,2,WAS,RB,28,16,16,0,0,0,0,0,347,1353,21,42,32,194,0,281,316.7,292.7
Terrell Davis*+,2,3,DEN,RB,24,16,16,0,0,0,0,0,345,1538,13,52,36,310,2,277,314.3,287.8
Vinny Testaverde*,2,4,BAL,QB,33,16,16,325,549,4177,33,19,34,188,2,0,0,0,0,300,320.4,309.9
Ricky Watters*,3,5,PHI,RB,27,16,16,0,0,0,0,0,353,1411,13,70,51,444,0,264,318.0,284.0
Curtis Martin*,4,6,NWE,RB,23,16,15,0,0,0,0,0,316,1152,14,52,46,333,3,253,302.5,271.5
Mark Brunell*,3,7,JAX,QB,26,16,16,353,557,4367,19,20,80,396,3,0,0,0,0,278,297.3,284.3
Emmitt Smith,5,8,DAL,RB,27,15,15,0,0,0,0,0,327,1204,12,57,47,249,3,235,285.8,253.8
Barry Sanders*,6,9,DET,RB,28,16,16,0,1,0,0,1,307,1553,11,32,24,147,0,234,263.0,243.0
Shannon Sharpe*+,1,10,DEN,TE,28,15,15,0,0,0,0,0,0,0,0,117,80,1062,10,166,248.7,205.2
Jeff Blake,4,11,CIN,QB,26,16,16,308,549,3624,24,14,72,317,2,0,0,0,0,259,275.2,265.7
John Elway*,5,12,DEN,QB,36,15,15,287,466,3328,26,14,50,249,4,0,0,0,0,258,275.0,266.0
Jerome Bettis*+,7,13,PIT,RB,24,16,12,0,0,0,0,0,320,1431,11,32,22,122,0,221,245.8,225.3
Michael Jackson,1,14,BAL,WR,27,16,16,0,0,0,0,0,0,0,0,150,76,1201,14,208,287.1,246.1
Drew Bledsoe*,6,15,NWE,QB,24,16,16,373,623,4086,27,15,24,27,0,0,0,0,0,252,265.6,258.1
Tony Martin*,2,16,SDG,WR,31,16,16,0,0,0,0,0,0,0,0,167,85,1171,14,201,289.1,243.6
Carl Pickens*,3,17,CIN,WR,26,16,16,1,1,12,0,0,2,2,0,174,100,1180,12,193,295.7,242.7
Eddie George,8,18,HOU,RB,23,16,16,0,0,0,0,0,335,1368,8,28,23,182,0,203,230.5,211.5
Jerry Rice*+,4,19,SFO,WR,34,16,16,0,1,0,0,0,11,77,1,153,108,1254,8,187,298.1,241.1
Herman Moore*+,5,20,DET,WR,27,16,16,0,0,0,0,0,0,0,0,178,106,1296,9,186,294.6,238.6
Irving Fryar*,6,21,PHI,WR,34,16,16,0,0,0,0,0,1,-4,0,152,88,1195,11,185,276.1,229.1
Wesley Walls*,2,22,CAR,TE,30,16,15,0,0,0,0,0,0,0,0,111,61,713,10,131,195.3,161.8
Karim Abdul-Jabbar,9,23,MIA,RB,22,16,14,0,0,0,0,0,307,1116,11,46,23,139,0,192,218.5,199.0
Cris Carter*,7,24,MIN,WR,31,16,16,0,0,0,0,0,0,0,0,167,96,1163,10,178,274.8,223.3
Ben Coates*,3,25,NWE,TE,27,16,15,0,0,0,0,0,0,0,0,100,62,682,9,124,188.7,154.2
Jamal Anderson,10,26,ATL,RB,24,16,12,0,0,0,0,0,232,1055,5,67,49,473,1,189,241.8,209.3
Isaac Bruce*,8,27,STL,WR,24,16,16,1,2,15,0,1,1,4,0,150,84,1338,7,175,262.3,216.8
Jake Reed,9,28,MIN,WR,29,16,15,0,0,0,0,0,0,0,0,126,72,1320,7,174,249.0,210.0
Tim Brown*,10,29,OAK,WR,30,16,16,0,0,0,0,0,6,35,0,146,90,1104,9,168,259.4,209.9
Jimmy Smith,11,30,JAX,WR,27,16,9,0,0,0,0,0,0,0,0,128,83,1244,7,166,251.9,206.9
Derrick Alexander,12,31,BAL,WR,25,15,14,0,0,0,0,0,3,0,0,107,62,1099,9,166,230.9,196.9
Thurman Thomas,11,32,BUF,RB,30,15,15,0,0,0,0,0,281,1033,8,42,26,254,0,177,208.2,188.7
Keith Jackson*,4,33,GNB,TE,31,16,5,0,0,0,0,0,0,0,0,63,40,505,10,111,153.5,130.5
Adrian Murrell,12,34,NYJ,RB,26,16,16,0,0,0,0,0,301,1249,6,36,17,81,1,175,192.0,177.5
Larry Centers*+,13,35,ARI,RB,28,16,14,0,0,0,0,0,116,425,2,130,99,766,7,173,277.6,221.6
Curtis Conway,13,36,CHI,WR,25,16,16,1,1,33,1,0,8,50,0,143,81,1049,7,157,240.7,196.7
Anthony Johnson,14,37,CAR,RB,29,16,11,0,0,0,0,0,300,1120,6,33,26,192,0,167,198.2,178.2
Joey Galloway,15,38,SEA,WR,25,16,16,0,0,0,0,0,15,127,0,121,57,987,7,153,221.4,185.9
Terry Glenn,14,39,NWE,WR,22,15,15,0,0,0,0,0,5,42,0,167,90,1132,6,153,245.9,197.4
Marcus Allen,15,40,KAN,RB,36,16,15,0,1,0,0,0,206,830,9,35,27,270,0,164,196.0,175.5
Steve Young*,7,41,SFO,QB,35,12,12,214,316,2410,14,6,52,310,4,0,0,0,0,197,207.9,200.4
Antonio Freeman,16,42,GNB,WR,24,12,12,0,0,0,0,0,0,0,0,107,56,933,9,147,204.8,172.3
Eddie Kennison,17,43,STL,WR,23,15,14,0,0,0,0,0,0,0,0,115,54,924,9,146,212.9,180.4
Jeff Hostetler,8,44,OAK,QB,35,13,13,242,402,2548,23,14,37,179,1,0,0,0,0,190,207.8,199.8
Andre Reed,18,45,BUF,WR,32,16,16,0,0,0,0,0,8,22,0,101,66,1036,6,142,210.3,173.8
Frank Wycheck,5,46,HOU,TE,25,16,16,0,0,0,0,0,2,3,0,68,53,511,6,87,142.4,111.9
O.J. McDuffie,19,47,MIA,WR,27,16,16,0,0,0,0,0,2,7,0,119,74,918,8,141,214.5,171.5
James Stewart,16,48,JAX,RB,25,13,11,0,0,0,0,0,190,723,8,40,30,177,2,150,185.0,163.0
Scott Mitchell,9,49,DET,QB,28,14,14,253,437,2917,17,17,37,83,4,0,0,0,0,183,198.5,191.0
Keyshawn Johnson,20,50,NYJ,WR,24,14,11,0,0,0,0,0,0,0,0,125,63,844,8,134,200.4,165.9
Brett Perriman,21,51,DET,WR,31,16,16,0,0,0,0,0,1,13,0,170,94,1021,5,133,230.4,180.4
Marvin Harrison,22,52,IND,WR,24,16,15,0,0,0,0,0,3,15,0,118,64,836,8,133,199.6,164.1
Keenan McCardell*,23,53,JAX,WR,26,16,15,0,0,0,0,0,0,0,0,127,85,1129,3,133,220.4,174.4
Chris Warren,17,54,SEA,RB,28,14,14,0,0,0,0,0,203,855,5,46,40,273,0,145,189.3,161.8
Bobby Hebert,10,55,ATL,QB,36,14,13,294,488,3152,22,25,15,59,1,0,0,0,0,178,201.0,193.0
Marshall Faulk,18,56,IND,RB,23,13,13,0,0,0,0,0,198,587,7,80,56,428,0,144,204.5,169.5
Bert Emanuel,24,57,ATL,WR,26,14,13,0,0,0,0,0,0,0,0,123,75,921,6,128,206.1,165.6
Ken Dilger,6,58,IND,TE,25,16,16,0,0,0,0,0,0,0,0,60,42,503,4,74,118.8,94.3
