 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-2.5,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Tom Brady*+,1,1,NWE,QB,30,16,16,398,578,4806,50,8,37,98,2,0,0,0,0,398,406.0,400.0
LaDainian Tomlinson*+,1,2,SDG,RB,28,16,16,1,1,17,1,0,315,1474,15,86,60,475,3,308,373.6,337.6
Randy Moss*+,1,3,NWE,WR,30,16,16,0,0,0,0,0,0,0,0,160,98,1493,23,287,388.3,336.3
Brian Westbrook*+,2,4,PHI,RB,28,15,15,0,0,0,0,0,278,1333,7,118,90,771,5,282,377.4,325.4
Adrian Peterson*,3,5,MIN,RB,22,14,9,0,0,0,0,0,238,1341,12,28,19,268,1,239,261.9,244.4
Terrell Owens*+,2,6,DAL,WR,34,15,15,0,0,0,0,0,1,5,0,141,81,1355,15,226,310.0,266.5
Braylon Edwards*,3,7,CLE,WR,24,16,16,0,0,0,0,0,0,0,0,154,80,1289,16,225,306.4,261.9
Clinton Portis,4,8,WAS,RB,26,16,16,1,1,15,1,0,325,1262,11,60,47,389,0,236,285.7,253.2
Joseph Addai*,5,9,IND,RB,24,15,15,0,0,0,0,0,261,1072,12,48,41,364,3,236,282.6,256.1
Reggie Wayne*,4,10,IND,WR,29,16,16,0,0,0,0,0,1,4,0,156,104,1510,10,211,316.9,260.4
Jamal Lewis,6,11,CLE,RB,28,15,15,0,0,0,0,0,298,1304,9,39,30,248,2,221,255.2,232.2
Tony Romo*,2,12,DAL,QB,27,16,16,335,520,4211,36,19,31,129,2,0,0,0,0,299,319.3,308.3
Larry Fitzgerald*,5,13,ARI,WR,24,15,15,0,0,0,0,0,0,0,0,167,100,1409,10,201,302.4,247.9
Jason Witten*+,1,14,DAL,TE,25,16,16,0,0,0,0,0,0,0,0,141,96,1145,7,157,255.0,203.5
Chad Johnson*,6,15,CIN,WR,29,16,16,0,0,0,0,0,6,47,0,161,93,1440,8,197,291.7,241.2
Antonio Gates*,2,16,SDG,TE,27,16,16,0,0,0,0,0,0,0,0,117,75,984,9,152,230.4,189.9
Tony Gonzalez*,3,17,KAN,TE,31,16,16,0,0,0,0,0,0,0,0,153,99,1172,5,147,249.2,196.7
T.J. Houshmandzadeh*,7,18,CIN,WR,30,16,15,0,0,0,0,0,5,14,0,169,112,1143,12,188,301.7,241.7
Marion Barber*,7,19,DAL,RB,24,16,0,0,0,0,0,0,204,975,10,54,44,282,2,198,246.2,216.7
Kellen Winslow*,4,20,CLE,TE,24,16,14,0,0,0,0,0,0,0,0,148,82,1106,5,143,226.6,181.6
Marques Colston,8,21,NOR,WR,24,16,14,0,0,0,0,0,0,0,0,143,98,1202,11,186,286.7,234.2
Peyton Manning*,3,22,IND,QB,31,16,16,337,515,4040,31,14,20,-5,3,0,0,0,0,277,291.1,285.1
Willis McGahee*,8,23,BAL,RB,26,15,15,0,0,0,0,0,294,1207,7,49,43,231,1,192,238.8,209.3
Brandon Marshall,9,24,DEN,WR,23,16,16,0,0,0,0,0,5,57,0,170,102,1325,7,180,283.7,228.2
Frank Gore,9,25,SFO,RB,24,15,15,0,0,0,0,0,260,1102,5,69,53,436,1,190,246.8,212.3
Plaxico Burress,10,26,NYG,WR,30,16,16,0,0,0,0,0,0,0,0,141,70,1025,12,175,247.5,209.5
Dallas Clark,5,27,IND,TE,28,15,15,0,0,0,0,0,2,29,0,101,58,616,11,131,191.5,159.5
Edgerrin James,10,28,ARI,RB,29,16,16,0,0,0,0,0,324,1222,7,39,24,204,0,185,212.1,191.6
Chris Cooley*,6,29,WAS,TE,25,16,16,0,0,0,0,0,0,0,0,110,66,786,8,129,197.1,160.6
Earnest Graham,11,30,TAM,RB,27,15,10,0,0,0,0,0,222,898,10,69,49,324,0,182,236.7,205.7
Ben Roethlisberger*,4,31,PIT,QB,25,15,15,264,404,3154,32,11,35,204,2,0,0,0,0,267,279.1,268.6
Drew Brees,5,32,NOR,QB,28,16,16,440,652,4423,28,18,23,52,1,2,2,10,0,265,283.6,275.1
Wes Welker,11,33,NWE,WR,26,16,13,0,0,0,0,0,4,34,0,145,112,1175,8,169,282.4,221.9
Marshawn Lynch,12,34,BUF,RB,21,13,13,1,1,8,1,0,280,1115,7,26,18,184,0,178,201.2,185.2
Greg Jennings,12,35,GNB,WR,24,13,13,0,0,0,0,0,0,0,0,84,53,920,12,164,219.5,189.5
Torry Holt*,13,36,STL,WR,31,16,16,0,0,0,0,0,0,0,0,149,93,1189,7,163,257.9,207.4
Matt Hasselbeck*,6,37,SEA,QB,32,16,16,352,562,3966,28,12,39,89,0,0,0,0,0,258,268.0,260.5
Maurice Jones-Drew,13,38,JAX,RB,22,15,0,0,0,0,0,0,167,768,9,55,40,407,0,172,222.5,195.5
Derek Anderson*,7,39,CLE,QB,24,16,15,298,527,3787,29,19,32,70,3,0,0,0,0,256,276.0,270.5
Steven Jackson,14,40,STL,RB,24,12,12,1,1,2,1,0,237,1002,5,52,38,271,1,167,208.9,181.4
Roddy White,14,41,ATL,WR,26,16,15,0,0,0,0,0,1,-2,0,137,83,1202,6,156,240.5,194.5
LenDale White,15,42,TEN,RB,23,16,16,0,0,0,0,0,303,1110,7,31,20,114,0,164,187.9,169.4
Brett Favre*,8,43,GNB,QB,38,16,16,356,535,4155,28,15,29,12,0,0,0,0,0,249,262.9,255.4
Bobby Engram,15,44,SEA,WR,34,16,13,0,0,0,0,0,0,0,0,134,94,1147,6,151,247.2,196.7
Willie Parker*,16,45,PIT,RB,27,15,15,0,1,0,0,0,321,1316,2,31,23,164,0,160,187.0,167.5
Steve Smith,16,46,CAR,WR,28,15,15,0,0,0,0,0,9,66,0,148,87,1002,7,149,238.3,191.3
Ryan Grant,17,47,GNB,RB,25,15,7,0,0,0,0,0,188,956,8,37,30,145,0,158,193.6,172.1
Kevin Curtis,17,48,PHI,WR,29,16,16,0,0,0,0,0,0,0,0,135,77,1110,6,147,239.0,197.5
Santonio Holmes,18,49,PIT,WR,23,13,13,0,0,0,0,0,5,17,0,85,52,942,8,146,199.9,169.9
Fred Taylor*,18,50,JAX,RB,31,15,15,0,0,0,0,0,223,1202,5,14,9,58,0,156,167.0,158.5
Kenny Watson,19,51,CIN,RB,29,16,5,0,0,0,0,0,178,763,7,67,52,374,0,156,212.2,178.7
Chester Taylor,20,52,MIN,RB,28,14,8,0,1,0,0,0,157,844,7,43,29,281,0,155,187.0,164.0
Brandon Jacobs,21,53,NYG,RB,25,11,9,0,0,0,0,0,202,1009,4,38,23,174,2,154,180.8,160.8
Heath Miller,7,54,PIT,TE,25,16,16,0,0,0,0,0,0,0,0,61,47,566,7,99,148.6,122.1
Reggie Bush,19,55,NOR,WR,22,12,10,0,0,0,0,0,157,581,4,98,73,417,2,142,216.8,170.3
Anquan Boldin,20,56,ARI,WR,27,12,11,0,0,0,0,0,1,14,0,99,71,853,9,141,213.7,174.2
Derrick Mason,21,57,BAL,WR,33,16,16,0,0,0,0,0,0,0,0,164,103,1087,5,139,244.2,189.2
Owen Daniels,8,58,HOU,TE,25,16,16,0,0,0,0,0,0,0,0,94,63,768,3,95,158.8,122.3
Joey Galloway,22,59,TAM,WR,36,15,15,0,0,0,0,0,1,1,0,98,57,1014,6,138,197.5,166.0
Donald Lee,9,60,GNB,TE,27,15,12,0,0,0,0,0,0,0,0,63,48,575,6,94,144.0,116.5
Thomas Jones,22,61,NYJ,RB,29,16,14,0,0,0,0,0,310,1119,1,34,28,217,1,146,178.6,157.6
Carson Palmer,9,62,CIN,QB,28,16,16,373,575,4131,26,20,24,10,0,0,0,0,0,230,250.7,245.2
Andre Johnson,23,63,HOU,WR,26,9,9,0,0,0,0,0,0,0,0,86,60,851,8,133,195.6,162.1
