 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,-0.7,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Terrell Davis*+,1,1,DEN,RB,26,16,16,0,0,0,0,0,392,2008,21,38,25,217,2,361,390.5,371.0
Jamal Anderson*+,2,2,ATL,RB,26,16,16,0,2,0,0,0,410,1846,14,46,27,319,2,315,345.0,323.0
Steve Young*,1,3,SFO,QB,37,15,15,322,517,4170,36,12,70,454,6,0,0,0,0,376,389.7,379.2
Marshall Faulk*,3,4,IND,RB,25,16,15,0,0,0,0,0,324,1319,6,106,86,908,4,283,373.2,322.7
Garrison Hearst*,4,5,SFO,RB,27,16,16,0,0,0,0,0,310,1570,7,56,39,535,2,267,309.5,282.0
Fred Taylor,5,6,JAX,RB,22,15,12,0,0,0,0,0,264,1223,14,53,44,421,3,266,314.9,285.4
Randy Moss*+,1,7,MIN,WR,21,16,11,0,0,0,0,0,1,4,0,124,69,1313,17,238,308.7,270.2
Emmitt Smith*,6,8,DAL,RB,29,16,16,0,0,0,0,0,319,1332,13,32,27,175,2,241,272.2,251.2
Antonio Freeman*+,2,9,GNB,WR,26,15,15,0,0,0,0,0,3,5,0,153,84,1424,14,229,315.9,270.9
Ricky Watters,7,10,SEA,RB,29,16,16,1,1,1,1,0,319,1239,9,73,52,373,0,221,277.2,243.2
Randall Cunningham*+,2,11,MIN,QB,35,15,14,259,425,3704,34,10,32,132,1,1,1,-3,0,289,305.1,297.6
Curtis Martin*,8,12,NYJ,RB,25,15,15,0,0,0,0,0,369,1287,8,57,43,365,1,219,265.7,235.7
Robert Edwards,9,13,NWE,RB,24,16,15,0,0,0,0,0,291,1115,9,52,35,331,3,217,255.1,229.1
Terrell Owens,3,14,SFO,WR,25,16,10,0,0,0,0,0,4,53,1,104,67,1097,14,207,276.5,239.5
Barry Sanders*,10,15,DET,RB,30,16,16,0,0,0,0,0,343,1491,4,57,37,289,0,202,243.5,217.5
Eddie George*,11,16,TEN,RB,25,16,16,0,0,0,0,0,348,1294,5,49,37,310,1,198,237.9,209.9
Brett Favre,3,17,GNB,QB,29,16,16,347,551,4212,31,23,40,133,1,0,0,0,0,268,292.8,282.8
Shannon Sharpe*+,1,18,DEN,TE,30,16,16,0,0,0,0,0,0,0,0,107,64,768,10,137,203.8,168.8
Robert Smith*,12,19,MIN,RB,26,14,14,0,0,0,0,0,249,1187,6,35,28,291,2,196,229.3,208.8
Eric Moulds*,4,20,BUF,WR,25,16,15,0,0,0,0,0,0,0,0,116,67,1368,9,191,260.8,224.3
